name,v_nom,carrier
Chennai North,230.0,AC
Chennai South,230.0,AC
Coimbatore,230.0,AC
Erode,230.0,AC
Madurai,230.0,AC
Tirunelveli,230.0,AC
Trichy,230.0,AC
Vellore,230.0,AC
Villupuram,230.0,AC
water_glenmorgan_forebay,1.0,water_energy
water_kadamparai,1.0,water_energy
water_kodayar_downstream,1.0,water_energy
water_kodayar_ii_forebay,1.0,water_energy
water_kundah_downstream,1.0,water_energy
water_kundah_pondage,1.0,water_energy
water_lower_aliyar,1.0,water_energy
water_mettur_downstream,1.0,water_energy
water_mettur_reservoir,1.0,water_energy
water_moyar_pondage,1.0,water_energy
water_pap_downstream,1.0,water_energy
water_papanasam_downstream_river,1.0,water_energy
water_papanasam_lower_pondage,1.0,water_energy
water_papanasam_reservoir,1.0,water_energy
water_parambikulam,1.0,water_energy
water_periyar_downstream,1.0,water_energy
water_periyar_reservoir,1.0,water_energy
water_pykara,1.0,water_energy
water_pykara_downstream,1.0,water_energy
water_servalar_reservoir,1.0,water_energy
water_sholayar,1.0,water_energy
water_thunacadavu,1.0,water_energy
water_upper_aliyar,1.0,water_energy
water_upper_bhavani,1.0,water_energy
water_upper_kodayar,1.0,water_energy
