component_type,excel_row,record_kind,unit_sequence,source,plant_name,state,district,commissioning_date,capacity_mw,implementing_agency,duplicate_group_size,component_id,original_component_id,bus,allocated_districts,allocation_method,allocation_confidence,allocation_source_url,allocation_notes,allocation_share,original_capacity_mw
Generator,9.0,unit,1.0,Coal,ITPCL or Cuddalore TPP,Tamil Nadu,Cuddalore,2015-09-01,600.0,IL&FS Tamil Nadu Power Co. Ltd.,1.0,itpcl_or_cuddalore_tpp__unit_01,itpcl_or_cuddalore_tpp__unit_01,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,600.0
Generator,10.0,unit,2.0,Coal,ITPCL or Cuddalore TPP,Tamil Nadu,Cuddalore,2016-04-01,600.0,IL&FS Tamil Nadu Power Co. Ltd.,1.0,itpcl_or_cuddalore_tpp__unit_02,itpcl_or_cuddalore_tpp__unit_02,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,600.0
Generator,11.0,unit,1.0,Coal,Mettur TPS,Tamil Nadu,Salem,1987-01-07,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,mettur_tps__unit_01,mettur_tps__unit_01,Erode,Salem,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,12.0,unit,2.0,Coal,Mettur TPS,Tamil Nadu,Salem,1987-01-12,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,mettur_tps__unit_02,mettur_tps__unit_02,Erode,Salem,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,13.0,unit,3.0,Coal,Mettur TPS,Tamil Nadu,Salem,1989-03-22,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,mettur_tps__unit_03,mettur_tps__unit_03,Erode,Salem,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,14.0,unit,4.0,Coal,Mettur TPS,Tamil Nadu,Salem,1990-03-27,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,mettur_tps__unit_04,mettur_tps__unit_04,Erode,Salem,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,15.0,unit,5.0,Coal,Mettur TPS,Tamil Nadu,Salem,2012-10-11,600.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1.0,mettur_tps__unit_05,mettur_tps__unit_05,Erode,Salem,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,600.0
Generator,16.0,unit,1.0,Coal,Muthiara TPP,Tamil Nadu,Thoothukudi,2014-12-02,600.0,Coastal Energen Pvt. Ltd. (CEPL),1.0,muthiara_tpp__unit_01,muthiara_tpp__unit_01,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,600.0
Generator,17.0,unit,2.0,Coal,Muthiara TPP,Tamil Nadu,Thoothukudi,2016-01-02,600.0,Coastal Energen Pvt. Ltd. (CEPL),1.0,muthiara_tpp__unit_02,muthiara_tpp__unit_02,Tirunelveli,Thoothukudi,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,600.0
Generator,18.0,unit,1.0,Coal,Neyveli (EXT) TPS I,Tamil Nadu,Cuddalore,2002-10-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_ext_tps_i__unit_01,neyveli_ext_tps_i__unit_01,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,19.0,unit,2.0,Coal,Neyveli (EXT) TPS I,Tamil Nadu,Cuddalore,2003-07-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_ext_tps_i__unit_02,neyveli_ext_tps_i__unit_02,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
