component_id,excel_row,source,plant_name,original_district,allocated_district,balancing_area,original_capacity_mw,allocation_share,allocated_capacity_mw,allocation_method,source_url,confidence,notes
itpcl_or_cuddalore_tpp__unit_01,9.0,Coal,ITPCL or Cuddalore TPP,Cuddalore,Cuddalore,Villupuram,600.0,1.0,600.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
itpcl_or_cuddalore_tpp__unit_02,10.0,Coal,ITPCL or Cuddalore TPP,Cuddalore,Cuddalore,Villupuram,600.0,1.0,600.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_tps__unit_01,11.0,Coal,Mettur TPS,Salem,Salem,Erode,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_tps__unit_02,12.0,Coal,Mettur TPS,Salem,Salem,Erode,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_tps__unit_03,13.0,Coal,Mettur TPS,Salem,Salem,Erode,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_tps__unit_04,14.0,Coal,Mettur TPS,Salem,Salem,Erode,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
mettur_tps__unit_05,15.0,Coal,Mettur TPS,Salem,Salem,Erode,600.0,1.0,600.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
muthiara_tpp__unit_01,16.0,Coal,Muthiara TPP,Thoothukudi,Thoothukudi,Tirunelveli,600.0,1.0,600.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
muthiara_tpp__unit_02,17.0,Coal,Muthiara TPP,Thoothukudi,Thoothukudi,Tirunelveli,600.0,1.0,600.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_ext_tps_i__unit_01,18.0,Coal,Neyveli (EXT) TPS I,Cuddalore,Cuddalore,Villupuram,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_ext_tps_i__unit_02,19.0,Coal,Neyveli (EXT) TPS I,Cuddalore,Cuddalore,Villupuram,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_ext_tps_ii__unit_01,20.0,Coal,Neyveli (EXT) TPS II,Cuddalore,Cuddalore,Villupuram,250.0,1.0,250.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_ext_tps_ii__unit_02,21.0,Coal,Neyveli (EXT) TPS II,Cuddalore,Cuddalore,Villupuram,250.0,1.0,250.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_new_tpp_neyveli_extension__unit_01,22.0,Coal,Neyveli (New) TPP /Neyveli Extension,Cuddalore,Cuddalore,Villupuram,500.0,1.0,500.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_new_tpp_neyveli_extension__unit_02,23.0,Coal,Neyveli (New) TPP /Neyveli Extension,Cuddalore,Cuddalore,Villupuram,500.0,1.0,500.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_tps_z__unit_01,24.0,Coal,Neyveli TPS (Z),Cuddalore,Cuddalore,Villupuram,250.0,1.0,250.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_tps_ii__unit_03,34.0,Coal,Neyveli TPS II,Cuddalore,Cuddalore,Villupuram,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_tps_ii__unit_02,35.0,Coal,Neyveli TPS II,Cuddalore,Cuddalore,Villupuram,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_tps_ii__unit_01,36.0,Coal,Neyveli TPS II,Cuddalore,Cuddalore,Villupuram,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_tps_ii__unit_04,37.0,Coal,Neyveli TPS II,Cuddalore,Cuddalore,Villupuram,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_tps_ii__unit_05,38.0,Coal,Neyveli TPS II,Cuddalore,Cuddalore,Villupuram,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_tps_ii__unit_06,39.0,Coal,Neyveli TPS II,Cuddalore,Cuddalore,Villupuram,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
neyveli_tps_ii__unit_07,40.0,Coal,Neyveli TPS II,Cuddalore,Cuddalore,Villupuram,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
north_chennai_tps__unit_01,41.0,Coal,North Chennai TPS,Thiruvallur,Tiruvallur,Chennai North,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
north_chennai_tps__unit_02,42.0,Coal,North Chennai TPS,Thiruvallur,Tiruvallur,Chennai North,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
north_chennai_tps__unit_03,43.0,Coal,North Chennai TPS,Thiruvallur,Tiruvallur,Chennai North,210.0,1.0,210.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
north_chennai_tps__unit_05,44.0,Coal,North Chennai TPS,Thiruvallur,Tiruvallur,Chennai North,600.0,1.0,600.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
north_chennai_tps__unit_04,45.0,Coal,North Chennai TPS,Thiruvallur,Tiruvallur,Chennai North,600.0,1.0,600.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
north_chennai_tps__unit_06,46.0,Coal,North Chennai TPS,Thiruvallur,Tiruvallur,Chennai North,800.0,1.0,800.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
opg_power_generation_private_ltd__unit_01,47.0,Coal,OPG Power Generation Private Ltd.,Thiruvallur,Tiruvallur,Chennai North,77.0,1.0,77.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
opg_power_generation_private_ltd__unit_02,48.0,Coal,OPG Power Generation Private Ltd.,Thiruvallur,Tiruvallur,Chennai North,77.0,1.0,77.0,District carried from original workbook,,Existing,No online correction applied because a single district was already provided.
