name,bus,p_nom,p_min_pu,p_max_pu,p_init,e_sum_max,carrier,marginal_cost,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
itpcl_or_cuddalore_tpp__unit_01,Villupuram,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
itpcl_or_cuddalore_tpp__unit_02,Villupuram,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
mettur_tps__unit_01,Erode,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
mettur_tps__unit_02,Erode,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
mettur_tps__unit_03,Erode,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
mettur_tps__unit_04,Erode,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
mettur_tps__unit_05,Erode,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
muthiara_tpp__unit_01,Tirunelveli,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
muthiara_tpp__unit_02,Tirunelveli,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_ext_tps_i__unit_01,Villupuram,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_ext_tps_i__unit_02,Villupuram,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_ext_tps_ii__unit_01,Villupuram,250.0,0.55,0.85,0.0,inf,coal,3087.5,True,997838.0176284716,199567.60352569437,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_ext_tps_ii__unit_02,Villupuram,250.0,0.55,0.85,0.0,inf,coal,3087.5,True,997838.0176284716,199567.60352569437,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_new_tpp_neyveli_extension__unit_01,Villupuram,500.0,0.55,0.85,0.0,inf,coal,3087.5,True,1995676.0352569437,399135.2070513887,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_new_tpp_neyveli_extension__unit_02,Villupuram,500.0,0.55,0.85,0.0,inf,coal,3087.5,True,1995676.0352569437,399135.2070513887,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_z__unit_01,Villupuram,250.0,0.55,0.85,0.0,inf,coal,3087.5,True,997838.0176284716,199567.60352569437,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_ii__unit_03,Villupuram,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_ii__unit_02,Villupuram,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_ii__unit_01,Villupuram,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_ii__unit_04,Villupuram,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_ii__unit_05,Villupuram,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_ii__unit_06,Villupuram,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_ii__unit_07,Villupuram,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
north_chennai_tps__unit_01,Chennai North,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
north_chennai_tps__unit_02,Chennai North,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
north_chennai_tps__unit_03,Chennai North,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
north_chennai_tps__unit_05,Chennai North,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
north_chennai_tps__unit_04,Chennai North,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
north_chennai_tps__unit_06,Chennai North,800.0,0.55,0.85,0.0,inf,coal,3087.5,True,3193081.656411109,638616.331282222,8,8,0,8,0.6,0.6,0.55,0.55
opg_power_generation_private_ltd__unit_01,Chennai North,77.0,0.55,0.85,0.0,inf,coal,3087.5,True,307334.1094295693,61466.82188591386,8,8,0,8,0.6,0.6,0.55,0.55
opg_power_generation_private_ltd__unit_02,Chennai North,77.0,0.55,0.85,0.0,inf,coal,3087.5,True,307334.1094295693,61466.82188591386,8,8,0,8,0.6,0.6,0.55,0.55
opg_power_generation_private_ltd__unit_03,Chennai North,80.0,0.55,0.85,0.0,inf,coal,3087.5,True,319308.1656411109,63861.6331282222,8,8,0,8,0.6,0.6,0.55,0.55
opg_power_generation_private_ltd__unit_04,Chennai North,180.0,0.55,0.85,0.0,inf,coal,3087.5,True,718443.3726924997,143688.67453849994,8,8,0,8,0.6,0.6,0.55,0.55
tcp_limited__unit_01,Chennai North,63.5,0.55,0.85,0.0,inf,coal,3087.5,True,253450.8564776318,50690.171295526365,8,8,0,8,0.6,0.6,0.55,0.55
tulsyan_nec_limited__unit_01,Chennai North,35.0,0.55,0.85,0.0,inf,coal,3087.5,True,139697.32246798603,27939.46449359721,8,8,0,8,0.6,0.6,0.55,0.55
tulsyan_nec_limited__unit_02,Chennai North,35.0,0.55,0.85,0.0,inf,coal,3087.5,True,139697.32246798603,27939.46449359721,8,8,0,8,0.6,0.6,0.55,0.55
tuticorin_p_tpp__unit_01,Tirunelveli,150.0,0.55,0.85,0.0,inf,coal,3087.5,True,598702.810577083,119740.5621154166,8,8,0,8,0.6,0.6,0.55,0.55
tuticorin_p_tpp__unit_02,Tirunelveli,150.0,0.55,0.85,0.0,inf,coal,3087.5,True,598702.810577083,119740.5621154166,8,8,0,8,0.6,0.6,0.55,0.55
tuticorin_joint_venture__unit_01,Tirunelveli,500.0,0.55,0.85,0.0,inf,coal,3087.5,True,1995676.0352569437,399135.2070513887,8,8,0,8,0.6,0.6,0.55,0.55
tuticorin_joint_venture__unit_02,Tirunelveli,500.0,0.55,0.85,0.0,inf,coal,3087.5,True,1995676.0352569437,399135.2070513887,8,8,0,8,0.6,0.6,0.55,0.55
tuticorin_tps__unit_01,Tirunelveli,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
tuticorin_tps__unit_02,Tirunelveli,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
tuticorin_tps__unit_03,Tirunelveli,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
tuticorin_tps__unit_05,Tirunelveli,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
tuticorin_tps__unit_04,Tirunelveli,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
tuticorin_thermal_power_plant__unit_01,Tirunelveli,525.0,0.55,0.85,0.0,inf,coal,3087.5,True,2095459.8370197904,419091.9674039581,8,8,0,8,0.6,0.6,0.55,0.55
vallur_tpp__unit_01,Chennai North,500.0,0.55,0.85,0.0,inf,coal,3087.5,True,1995676.0352569437,399135.2070513887,8,8,0,8,0.6,0.6,0.55,0.55
vallur_tpp__unit_02,Chennai North,500.0,0.55,0.85,0.0,inf,coal,3087.5,True,1995676.0352569437,399135.2070513887,8,8,0,8,0.6,0.6,0.55,0.55
vallur_tpp__unit_03,Chennai North,500.0,0.55,0.85,0.0,inf,coal,3087.5,True,1995676.0352569437,399135.2070513887,8,8,0,8,0.6,0.6,0.55,0.55
aliyar_hydroelectric_power_project__unit_01,Coimbatore,60.0,0.0,1.0,,183939.6628216504,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
bhavani_kattalai_barrage_i_hydroelectric_power_project__unit_02,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
bhavani_kattalai_barrage_i_hydroelectric_power_project__unit_01,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
bhavani_kattalai_barrage_ii_hydroelectric_power_project__unit_01,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
bhavani_kattalai_barrage_ii_hydroelectric_power_project__unit_02,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
bhavani_kattalai_barrage_iii_hydroelectric_power_project__unit_01,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
bhavani_kattalai_barrage_iii_hydroelectric_power_project__unit_02,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kodayar_i_ii_power_house__unit_01,Tirunelveli,60.0,0.0,1.0,,183939.6628216504,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kodayar_i_ii_power_house__unit_02,Tirunelveli,40.0,0.0,1.0,,122626.44188110028,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_01,Coimbatore,20.0,0.0,1.0,,61313.22094055013,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_02,Coimbatore,20.0,0.0,1.0,,61313.22094055013,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_08,Coimbatore,20.0,0.0,1.0,,61313.22094055013,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_03,Coimbatore,35.0,0.0,1.0,,107298.13664596272,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_04,Coimbatore,35.0,0.0,1.0,,107298.13664596272,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_05,Coimbatore,35.0,0.0,1.0,,107298.13664596272,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_06,Coimbatore,35.0,0.0,1.0,,107298.13664596272,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_07,Coimbatore,35.0,0.0,1.0,,107298.13664596272,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_10,Coimbatore,60.0,0.0,1.0,,183939.6628216504,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_11,Coimbatore,60.0,0.0,1.0,,183939.6628216504,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_13,Coimbatore,60.0,0.0,1.0,,183939.6628216504,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_12,Coimbatore,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_14,Coimbatore,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_09,Coimbatore,20.0,0.0,1.0,,61313.22094055013,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
kundah_i_to_v_hydroelectric_power_project__unit_15,Coimbatore,20.0,0.0,1.0,,61313.22094055013,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
lower_mettur_i_to_iv_hydroelectric_power_project__unit_04,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
lower_mettur_i_to_iv_hydroelectric_power_project__unit_03,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
lower_mettur_i_to_iv_hydroelectric_power_project__unit_05,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
lower_mettur_i_to_iv_hydroelectric_power_project__unit_02,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
lower_mettur_i_to_iv_hydroelectric_power_project__unit_01,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
lower_mettur_i_to_iv_hydroelectric_power_project__unit_06,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
lower_mettur_i_to_iv_hydroelectric_power_project__unit_08,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
lower_mettur_i_to_iv_hydroelectric_power_project__unit_07,Erode,15.0,0.0,1.0,,45984.9157054126,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
