date,observed_reservoir_inflow_mwh,inflow_method
2025-04-01,529.8199543872001,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-02,369.61392061439994,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-03,547.8206323392,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-04,591.0222594240001,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-05,1114.8419878272,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-06,792.0298298879999,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-07,604.8227791872,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-08,1945.2732640127997,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-09,1247.4469820735999,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-10,634.2238865088001,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-11,429.01615785600006,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-12,393.0148019520001,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-13,449.41692620160006,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-14,364.684734968544,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-15,944.4355698816,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-16,603.022711392,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-17,1004.4378297216,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-18,803.4302592576,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-19,988.8372421632,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-20,1854.6698516543997,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-21,1354.2510045888002,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-22,1464.6551626944001,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-23,1221.0459877439998,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-24,1559.4587332416,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-25,1202.4452871935998,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-26,958.8361122431998,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-27,1053.0396601919997,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-28,953.4359088575998,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-29,724.8272988672002,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-04-30,1222.8460555391998,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-01,927.0349145280001,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-02,1459.8549819072,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-03,2332.4168448394557,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-04,2545.8958850112003,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-05,1816.2684053568,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-06,1704.064179456,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-07,1449.6545977343997,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-08,4502.569578393601,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-09,4502.569578393601,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-10,4502.569578393601,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-11,4502.569578393601,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-12,4502.569578393601,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-13,4502.569578393601,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-14,285.01073424,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-15,926.4348919295999,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-16,2154.081128256,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-17,2266.2853541567993,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-18,3117.7174212864,Tamil Nadu Agriculture daily inflow; no statewide allocation
2025-05-19,4068.7532397504,Tamil Nadu Agriculture daily inflow; no statewide allocation
