name,bus0,bus1,p_nom,p_min_pu,efficiency,carrier,marginal_cost,bus2,efficiency2
vellore__villupuram,Vellore,Villupuram,12068.5,-1.0,1.0,AC,0.0,,
madurai__tirunelveli,Madurai,Tirunelveli,11261.0,-1.0,1.0,AC,0.0,,
trichy__villupuram,Trichy,Villupuram,10116.0,-1.0,1.0,AC,0.0,,
chennai_north__chennai_south,Chennai North,Chennai South,8345.5,-1.0,1.0,AC,0.0,,
coimbatore__tirunelveli,Coimbatore,Tirunelveli,7299.5,-1.0,1.0,AC,0.0,,
madurai__trichy,Madurai,Trichy,7217.0,-1.0,1.0,AC,0.0,,
erode__vellore,Erode,Vellore,6552.0,-1.0,1.0,AC,0.0,,
chennai_north__vellore,Chennai North,Vellore,6222.5,-1.0,1.0,AC,0.0,,
tirunelveli__vellore,Tirunelveli,Vellore,5512.0,-1.0,1.0,AC,0.0,,
chennai_north__villupuram,Chennai North,Villupuram,5512.0,-1.0,1.0,AC,0.0,,
coimbatore__erode,Coimbatore,Erode,5452.0,-1.0,1.0,AC,0.0,,
coimbatore__vellore,Coimbatore,Vellore,5362.5,-1.0,1.0,AC,0.0,,
chennai_south__villupuram,Chennai South,Villupuram,4977.0,-1.0,1.0,AC,0.0,,
coimbatore__madurai,Coimbatore,Madurai,3111.5,-1.0,1.0,AC,0.0,,
coimbatore__trichy,Coimbatore,Trichy,2770.5,-1.0,1.0,AC,0.0,,
erode__villupuram,Erode,Villupuram,2279.0,-1.0,1.0,AC,0.0,,
chennai_south__vellore,Chennai South,Vellore,2156.0,-1.0,1.0,AC,0.0,,
erode__trichy,Erode,Trichy,1167.5,-1.0,1.0,AC,0.0,,
mettur_turbine__mettur_dam_hydroelectric_power_project__unit_01,water_mettur_reservoir,Erode,12.5,0.0,1.0,hydro_turbine,0.0,water_mettur_downstream,1.0
mettur_turbine__mettur_dam_hydroelectric_power_project__unit_02,water_mettur_reservoir,Erode,12.5,0.0,1.0,hydro_turbine,0.0,water_mettur_downstream,1.0
mettur_turbine__mettur_dam_hydroelectric_power_project__unit_03,water_mettur_reservoir,Erode,12.5,0.0,1.0,hydro_turbine,0.0,water_mettur_downstream,1.0
mettur_turbine__mettur_dam_hydroelectric_power_project__unit_04,water_mettur_reservoir,Erode,12.5,0.0,1.0,hydro_turbine,0.0,water_mettur_downstream,1.0
mettur_turbine__mettur_tunnel__unit_01,water_mettur_reservoir,Erode,50.0,0.0,1.0,hydro_turbine,0.0,water_mettur_downstream,1.0
mettur_turbine__mettur_tunnel__unit_02,water_mettur_reservoir,Erode,50.0,0.0,1.0,hydro_turbine,0.0,water_mettur_downstream,1.0
mettur_turbine__mettur_tunnel__unit_03,water_mettur_reservoir,Erode,50.0,0.0,1.0,hydro_turbine,0.0,water_mettur_downstream,1.0
