name,bus,e_nom,e_initial,e_cyclic,carrier
Mettur_reservoir,water_mettur_reservoir,649121.66982,324560.83491,False,water_energy
Mettur_downstream,water_mettur_downstream,22549121.66982,0.0,False,water_energy
Periyar_reservoir,water_periyar_reservoir,73405.54242,36702.77121,False,water_energy
Periyar_downstream,water_periyar_downstream,4453405.54242,0.0,False,water_energy
Parambikulam,water_parambikulam,93434.07452399998,46717.03726199999,False,water_energy
Thunacadavu,water_thunacadavu,14015.111178599996,7007.555589299998,False,water_energy
Sholayar,water_sholayar,35042.986476,17521.493238,False,water_energy
Upper_Aliyar,water_upper_aliyar,93434.07452399998,46717.03726199999,False,water_energy
Lower_Aliyar,water_lower_aliyar,93434.07452399998,46717.03726199999,False,water_energy
PAP_downstream,water_pap_downstream,2411911.135524,0.0,False,water_energy
Kadamparai,water_kadamparai,2666.6666666666665,1333.3333333333333,False,water_energy
Upper_Kodayar,water_upper_kodayar,30209.4711,15104.73555,False,water_energy
Kodayar_II_forebay,water_kodayar_ii_forebay,3020.94711,1510.473555,False,water_energy
Kodayar_downstream,water_kodayar_downstream,3020.94711,1510.473555,False,water_energy
Upper_Bhavani,water_upper_bhavani,399600.0,199800.0,False,water_energy
Kundah_pondage,water_kundah_pondage,39960.0,19980.0,False,water_energy
Kundah_downstream,water_kundah_downstream,2160.0,1080.0,False,water_energy
Pykara,water_pykara,42624.0,21312.0,False,water_energy
Glenmorgan_forebay,water_glenmorgan_forebay,10800.0,5400.0,False,water_energy
Moyar_pondage,water_moyar_pondage,2880.0,1440.0,False,water_energy
Pykara_downstream,water_pykara_downstream,2880.0,1440.0,False,water_energy
Papanasam_reservoir,water_papanasam_reservoir,38195.882999999994,19097.941499999997,False,water_energy
Servalar_reservoir,water_servalar_reservoir,3819.5882999999994,1909.7941499999997,False,water_energy
Papanasam_lower_pondage,water_papanasam_lower_pondage,192.0,96.0,False,water_energy
Papanasam_downstream_river,water_papanasam_downstream_river,318515.883,0.0,False,water_energy
