name,bus0,bus1,stated_capacity_mw,availability_factor,p_nom,source_capacity_text,capacity_method
vellore__villupuram,Vellore,Villupuram,24137.0,0.5,12068.5,24137,value
madurai__tirunelveli,Madurai,Tirunelveli,22522.0,0.5,11261.0,22522,value
trichy__villupuram,Trichy,Villupuram,20232.0,0.5,10116.0,20232,value
chennai_north__chennai_south,Chennai North,Chennai South,16691.0,0.5,8345.5,16691,value
coimbatore__tirunelveli,Coimbatore,Tirunelveli,14599.0,0.5,7299.5,14599,value
madurai__trichy,Madurai,Trichy,14434.0,0.5,7217.0,14434,value
erode__vellore,Erode,Vellore,13104.0,0.5,6552.0,13104,value
chennai_north__vellore,Chennai North,Vellore,12445.0,0.5,6222.5,12445,value
tirunelveli__vellore,Tirunelveli,Vellore,11024.0,0.5,5512.0,11024,value
chennai_north__villupuram,Chennai North,Villupuram,11024.0,0.5,5512.0,11024,value
coimbatore__erode,Coimbatore,Erode,10904.0,0.5,5452.0,10904,value
coimbatore__vellore,Coimbatore,Vellore,10725.0,0.5,5362.5,10725,value
chennai_south__villupuram,Chennai South,Villupuram,9954.0,0.5,4977.0,9954,value
coimbatore__madurai,Coimbatore,Madurai,6223.0,0.5,3111.5,6223,value
coimbatore__trichy,Coimbatore,Trichy,5541.0,0.5,2770.5,5541,value
erode__villupuram,Erode,Villupuram,4558.0,0.5,2279.0,4558,value
chennai_south__vellore,Chennai South,Vellore,4312.0,0.5,2156.0,4312,value
erode__trichy,Erode,Trichy,2335.0,0.5,1167.5,2335,value
