date,coal,oil_gas,nuclear,hydro,solar,wind,other_res,comparable_total
2025-07-01,181.2,3.85,54.64,23.33,42.4,123.78,,429.2
2025-07-02,181.73,3.8,54.38,23.89,35.32,138.6,,437.72
2025-07-03,181.51,3.47,53.99,26.61,34.32,115.86,,415.76
2025-07-04,176.48,3.38,53.92,26.11,42.51,132.99,,435.39
2025-07-05,166.66,3.45,54.01,21.99,51.32,151.68,,449.11
2025-07-06,159.35,3.4,54.31,22.3,49.37,162.99,,451.72
2025-07-07,165.1,3.79,54.09,25.85,46.24,155.39,,450.46
2025-07-08,171.04,3.72,54.11,26.77,46.19,140.28,,442.11
2025-07-09,166.39,3.75,54.13,24.33,46.54,137.09,,432.23
2025-07-10,172.64,3.58,54.01,24.53,44.03,107.23,,406.02
2025-07-11,170.2,3.54,54.07,22.99,45.82,136.5,,433.12
2025-07-12,161.24,3.49,54.19,25.28,47.82,147.14,,439.16
2025-07-13,161.53,3.25,54.26,27.41,44.38,146.6,,437.43
2025-07-14,160.32,3.38,54.12,24.11,47.66,161.16,,450.75
2025-07-15,154.43,3.33,54.18,27.6,45.08,146.53,,431.15
2025-07-16,151.3,3.56,54.03,25.37,38.28,143.33,,415.87
2025-07-17,154.52,3.4,53.99,26.25,40.94,129.41,,408.51
2025-07-18,179.08,3.6,54.0,28.11,36.71,126.1,,427.6
2025-07-19,180.86,3.83,54.02,24.65,29.58,141.4,,434.34
2025-07-20,168.38,3.81,54.05,28.26,30.58,135.46,,420.54
2025-07-21,166.76,3.5,53.86,26.2,35.67,143.4,,429.39
2025-07-22,169.21,3.64,53.95,25.43,34.13,134.24,,420.6
2025-07-23,170.3,3.68,53.84,35.66,38.39,157.49,,459.36
2025-07-24,164.02,3.53,53.61,27.7,32.57,159.79,,441.22
2025-07-25,168.3,3.78,53.47,28.74,32.89,154.39,,441.57
2025-07-26,162.42,3.85,53.31,30.36,32.35,170.84,,453.13
2025-07-27,151.8,3.78,53.04,26.77,43.27,138.52,,417.18
2025-07-28,148.73,3.89,52.77,30.44,45.31,115.01,,396.15
2025-07-29,157.04,3.88,52.76,29.63,49.42,124.84,,417.57
2025-07-30,163.54,3.86,52.41,29.25,48.46,111.04,,408.56
2025-07-31,165.11,3.79,52.14,31.62,47.75,134.39,,434.8
