date,carrier,modeled_gwh,observed_gwh,difference_gwh,difference_pct
2025-04-07,coal,179.67,179.67,0.0,0.0
2025-04-08,coal,200.3,200.3,0.0,0.0
2025-04-09,coal,202.8,202.8,0.0,0.0
2025-04-10,coal,183.38,183.38,0.0,0.0
2025-04-11,coal,155.02,155.02,0.0,0.0
2025-04-12,coal,166.24,166.24,0.0,0.0
2025-04-13,coal,163.22,163.22,0.0,0.0
2025-07-07,coal,165.1,165.1,0.0,0.0
2025-07-08,coal,171.04,171.04,0.0,0.0
2025-07-09,coal,166.39,166.39,0.0,0.0
2025-07-10,coal,172.64,172.64,0.0,0.0
2025-07-11,coal,170.2,170.2,0.0,0.0
2025-07-12,coal,161.24,161.24,0.0,0.0
2025-07-13,coal,161.53,161.53,0.0,0.0
2025-10-13,coal,185.13,185.13,0.0,0.0
2025-10-14,coal,189.56,189.56,0.0,0.0
2025-10-15,coal,179.69,179.69,0.0,0.0
2025-10-16,coal,175.19,175.19,0.0,0.0
2025-10-17,coal,169.74,169.74,0.0,0.0
2025-10-18,coal,173.06,173.06,0.0,0.0
2025-10-19,coal,149.11,149.11,0.0,0.0
2026-02-16,coal,213.22,213.22,0.0,0.0
2026-02-17,coal,218.81,218.81,0.0,0.0
2026-02-18,coal,218.9,218.9,0.0,0.0
2026-02-19,coal,216.14,216.14,0.0,0.0
2026-02-20,coal,219.02,219.02,0.0,0.0
2026-02-21,coal,230.45,230.45,0.0,0.0
2026-02-22,coal,220.52,220.52,0.0,0.0
2025-04-07,oil_gas,3.7,3.7,0.0,0.0
2025-04-08,oil_gas,3.18,3.18,0.0,0.0
2025-04-09,oil_gas,3.99,3.99,0.0,0.0
2025-04-10,oil_gas,3.95,3.95,0.0,0.0
2025-04-11,oil_gas,4.01,4.01,0.0,0.0
2025-04-12,oil_gas,3.97,3.97,0.0,0.0
2025-04-13,oil_gas,3.98,3.98,0.0,0.0
2025-07-07,oil_gas,3.79,3.79,0.0,0.0
2025-07-08,oil_gas,3.72,3.72,0.0,0.0
2025-07-09,oil_gas,3.75,3.75,0.0,0.0
2025-07-10,oil_gas,3.58,3.58,0.0,0.0
2025-07-11,oil_gas,3.54,3.54,0.0,0.0
2025-07-12,oil_gas,3.49,3.49,0.0,0.0
2025-07-13,oil_gas,3.25,3.25,0.0,0.0
2025-10-13,oil_gas,4.02,4.02,0.0,0.0
2025-10-14,oil_gas,4.0,4.0,0.0,0.0
2025-10-15,oil_gas,3.77,3.77,0.0,0.0
2025-10-16,oil_gas,3.94,3.94,0.0,0.0
2025-10-17,oil_gas,3.9,3.9,0.0,0.0
2025-10-18,oil_gas,4.02,4.02,0.0,0.0
2025-10-19,oil_gas,4.1,4.1,0.0,0.0
2026-02-16,oil_gas,3.09,3.09,0.0,0.0
2026-02-17,oil_gas,3.08,3.08,0.0,0.0
2026-02-18,oil_gas,3.07,3.07,0.0,0.0
2026-02-19,oil_gas,3.07,3.07,0.0,0.0
2026-02-20,oil_gas,3.0,3.0,0.0,0.0
2026-02-21,oil_gas,3.05,3.05,0.0,0.0
2026-02-22,oil_gas,3.05,3.05,0.0,0.0
2025-04-07,nuclear,54.31,54.31,0.0,0.0
2025-04-08,nuclear,54.25,54.25,0.0,0.0
2025-04-09,nuclear,54.32,54.32,0.0,0.0
2025-04-10,nuclear,54.15,54.15,0.0,0.0
2025-04-11,nuclear,54.13,54.13,0.0,0.0
2025-04-12,nuclear,54.36,54.36,0.0,0.0
2025-04-13,nuclear,54.42,54.42,0.0,0.0
2025-07-07,nuclear,54.09,54.09,0.0,0.0
2025-07-08,nuclear,54.11,54.11,0.0,0.0
2025-07-09,nuclear,54.13,54.13,0.0,0.0
2025-07-10,nuclear,54.01,54.01,0.0,0.0
2025-07-11,nuclear,54.07,54.07,0.0,0.0
2025-07-12,nuclear,54.19,54.19,0.0,0.0
2025-07-13,nuclear,54.26,54.26,0.0,0.0
2025-10-13,nuclear,49.19,49.19,0.0,0.0
2025-10-14,nuclear,49.21,49.21,0.0,0.0
2025-10-15,nuclear,48.97,48.97,0.0,0.0
2025-10-16,nuclear,48.97,48.97,0.0,0.0
2025-10-17,nuclear,48.7,48.7,0.0,0.0
2025-10-18,nuclear,48.58,48.58,0.0,0.0
2025-10-19,nuclear,48.65,48.65,0.0,0.0
2026-02-16,nuclear,54.16,54.16,0.0,0.0
2026-02-17,nuclear,54.38,54.38,0.0,0.0
2026-02-18,nuclear,54.29,54.29,0.0,0.0
2026-02-19,nuclear,54.23,54.23,0.0,0.0
2026-02-20,nuclear,54.28,54.28,0.0,0.0
2026-02-21,nuclear,54.19,54.19,0.0,0.0
2026-02-22,nuclear,54.29,54.29,0.0,0.0
2025-04-07,hydro,7.79,7.79,0.0,0.0
2025-04-08,hydro,5.58,5.58,0.0,0.0
2025-04-09,hydro,6.79,6.79,0.0,0.0
2025-04-10,hydro,3.93,3.93,0.0,0.0
2025-04-11,hydro,6.08,6.08,0.0,0.0
2025-04-12,hydro,7.26,7.26,0.0,0.0
2025-04-13,hydro,6.42,6.42,0.0,0.0
2025-07-07,hydro,25.85,25.85,0.0,0.0
2025-07-08,hydro,26.77,26.77,0.0,0.0
2025-07-09,hydro,24.33,24.33,0.0,0.0
2025-07-10,hydro,24.53,24.53,0.0,0.0
2025-07-11,hydro,22.99,22.99,0.0,0.0
2025-07-12,hydro,25.28,25.28,0.0,0.0
2025-07-13,hydro,27.41,27.41,0.0,0.0
2025-10-13,hydro,20.07,20.07,0.0,0.0
2025-10-14,hydro,18.57,18.57,0.0,0.0
2025-10-15,hydro,17.32,17.32,0.0,0.0
2025-10-16,hydro,17.91,17.91,0.0,0.0
2025-10-17,hydro,15.74,15.74,0.0,0.0
2025-10-18,hydro,14.91,14.91,0.0,0.0
2025-10-19,hydro,16.56,16.56,0.0,0.0
2026-02-16,hydro,7.85,7.85,0.0,0.0
2026-02-17,hydro,6.03,6.03,0.0,0.0
2026-02-18,hydro,5.36,5.36,0.0,0.0
2026-02-19,hydro,4.3,4.3,0.0,0.0
