date,carrier,modeled_gwh,observed_gwh,difference_gwh,difference_pct
2025-07-07,coal,210.4205163033524,165.1,45.320516303352406,27.450343006270383
2025-07-08,coal,217.51515323965947,171.04,46.47515323965948,27.172096141054418
2025-07-09,coal,225.68160702683429,166.39,59.2916070268343,35.6341168500717
2025-07-10,coal,215.5899432386405,172.64,42.949943238640515,24.878326713763045
2025-07-11,coal,222.8821079625339,170.2,52.682107962533905,30.953059907481734
2025-07-12,coal,212.0789532548953,161.24,50.8389532548953,31.529988374407903
2025-07-13,coal,179.68971734166342,161.53,18.159717341663423,11.24231866629321
2025-07-07,oil_gas,3.790000000000002,3.79,1.7763568394002505e-15,4.68695735989512e-14
2025-07-08,oil_gas,3.720000000000001,3.72,8.881784197001252e-16,2.3875763970433472e-14
2025-07-09,oil_gas,3.750000000000001,3.75,8.881784197001252e-16,2.3684757858670007e-14
2025-07-10,oil_gas,3.580000000000001,3.58,8.881784197001252e-16,2.4809453064249308e-14
2025-07-11,oil_gas,3.540000000000001,3.54,8.881784197001252e-16,2.5089785867235178e-14
2025-07-12,oil_gas,3.490000000000001,3.49,8.881784197001252e-16,2.5449238386823072e-14
2025-07-13,oil_gas,3.25,3.25,0.0,0.0
2025-07-07,nuclear,54.09,54.09,0.0,0.0
2025-07-08,nuclear,54.11,54.11,0.0,0.0
2025-07-09,nuclear,54.13,54.13,0.0,0.0
2025-07-10,nuclear,54.01,54.01,0.0,0.0
2025-07-11,nuclear,54.07,54.07,0.0,0.0
2025-07-12,nuclear,54.19,54.19,0.0,0.0
2025-07-13,nuclear,54.26,54.26,0.0,0.0
2025-07-07,hydro,28.88607584591724,25.85,3.036075845917239,11.74497425886746
2025-07-08,hydro,26.932480293945105,26.77,0.1624802939451051,0.6069491742439488
2025-07-09,hydro,28.329124738349805,24.33,3.9991247383498063,16.437010844018936
2025-07-10,hydro,29.04107654372539,24.53,4.5110765437253875,18.390038906340756
2025-07-11,hydro,28.233560121035097,22.99,5.243560121035099,22.808004006242275
2025-07-12,hydro,28.740123920088717,25.28,3.4601239200887157,13.687199050983843
2025-07-13,hydro,27.59709226856555,27.41,0.18709226856555006,0.6825693855000002
2025-07-07,solar,58.11818766980864,46.24,11.87818766980864,25.688122123288576
2025-07-08,solar,58.10249425437985,46.19,11.912494254379851,25.790201893006824
2025-07-09,solar,58.08590666804172,46.54,11.545906668041724,24.80856611096202
2025-07-10,solar,58.06842757763109,44.03,14.03842757763109,31.88377828215101
2025-07-11,solar,58.05005980464272,45.82,12.230059804642721,26.69153165570214
2025-07-12,solar,58.03080632655495,47.82,10.210806326554952,21.35258537548087
2025-07-13,solar,58.01067027821331,44.38,13.630670278213309,30.713542762986272
2025-07-07,wind,60.64694044626219,155.39,-94.7430595537378,-60.971143287044086
2025-07-08,wind,64.5359640131525,140.28,-75.7440359868475,-53.99489306162497
2025-07-09,wind,68.42498758004281,137.09,-68.6650124199572,-50.08754279667167
2025-07-10,wind,70.49429379830275,107.23,-36.735706201697255,-34.25879530140563
2025-07-11,wind,69.77563129063145,136.5,-66.72436870936855,-48.8823213988048
2025-07-12,wind,66.60527023141238,147.14,-80.53472976858761,-54.73340340396059
2025-07-13,wind,62.46665779489271,146.6,-84.13334220510728,-57.389728652869906
2025-07-07,comparable_total,415.9517202653405,450.46,-34.50827973465948,-7.660675694769677
2025-07-08,comparable_total,424.9160918011369,442.11,-17.19390819886314,-3.8890566146124588
2025-07-09,comparable_total,438.40162601326864,432.23,6.171626013268622,1.4278569310942373
2025-07-10,comparable_total,430.7837411582998,406.02,24.76374115829981,6.09914318464603
2025-07-11,comparable_total,436.5513591788432,433.12,3.431359178843195,0.7922421450967849
2025-07-12,comparable_total,423.1351537329514,439.16,-16.024846267048645,-3.6489767435669562
2025-07-13,comparable_total,385.27413768333497,437.43,-52.155862316665036,-11.9232476777233
