next_window_start,status_history_matches,max_online_p_init_error_mw,max_storage_initial_soc_error_mwh
2025-04-08,True,0.0,0.0
2025-04-15,True,0.0,0.0
2025-04-22,True,0.0,0.0
2025-04-29,True,0.0,0.0
2025-05-06,True,0.0,0.0
2025-05-13,True,0.0,0.0
2025-05-20,True,0.0,0.0
2025-05-27,True,0.0,0.0
2025-06-03,True,0.0,0.0
2025-06-10,True,0.0,0.0
2025-06-17,True,0.0,0.0
2025-06-24,True,0.0,0.0
2025-07-01,True,0.0,0.0
2025-07-08,True,0.0,0.0
2025-07-15,True,0.0,0.0
2025-07-22,True,0.0,0.0
2025-07-29,True,0.0,0.0
2025-08-05,True,0.0,0.0
2025-08-12,True,0.0,0.0
2025-08-19,True,0.0,0.0
2025-08-26,True,0.0,0.0
2025-09-02,True,0.0,0.0
2025-09-09,True,0.0,0.0
2025-09-16,True,0.0,0.0
2025-09-23,True,0.0,0.0
2025-09-30,True,0.0,0.0
2025-10-07,True,0.0,0.0
2025-10-14,True,0.0,0.0
2025-10-21,True,0.0,0.0
2025-10-28,True,0.0,0.0
2025-11-04,True,0.0,0.0
2025-11-11,True,0.0,0.0
2025-11-18,True,0.0,0.0
2025-11-25,True,0.0,0.0
2025-12-02,True,0.0,0.0
2025-12-09,True,0.0,0.0
2025-12-16,True,0.0,0.0
2025-12-23,True,0.0,0.0
2025-12-30,True,0.0,0.0
2026-01-06,True,0.0,0.0
2026-01-13,True,0.0,0.0
2026-01-20,True,0.0,0.0
2026-01-27,True,0.0,0.0
2026-02-03,True,0.0,0.0
2026-02-10,True,0.0,0.0
2026-02-17,True,0.0,0.0
2026-02-24,True,0.0,0.0
2026-03-03,True,0.0,0.0
2026-03-10,True,0.0,0.0
2026-03-17,True,0.0,0.0
2026-03-24,True,0.0,0.0
2026-03-31,True,0.0,0.0
