name,carrier,capacity_mw,online_hours,startups,shutdowns,generation_gwh
itpcl_or_cuddalore_tpp__unit_01,coal,600.0,6842.0,81.0,73.0,2908.923551864794
itpcl_or_cuddalore_tpp__unit_02,coal,600.0,6840.0,92.0,86.0,2937.8898816322508
mettur_tps__unit_01,coal,210.0,6181.999999999999,95.0,94.00000000000016,936.4423250701581
mettur_tps__unit_02,coal,210.0,6214.0,102.0,102.0,941.4866002501153
mettur_tps__unit_03,coal,210.0,6411.0,104.0,103.0,973.7351093230412
mettur_tps__unit_04,coal,210.0,5873.0,110.0,106.0,896.3717834734504
mettur_tps__unit_05,coal,600.0,6881.0,87.0,83.00000000000003,3003.3631806235376
muthiara_tpp__unit_01,coal,600.0,7146.0,85.0,79.9999999999999,3051.3243511189526
muthiara_tpp__unit_02,coal,600.0,6782.0,86.0,79.00000000000009,2924.9816709525185
neyveli_ext_tps_i__unit_01,coal,210.0,6572.0,101.0,99.0,995.6106040734012
neyveli_ext_tps_i__unit_02,coal,210.0,6260.0,102.0,101.0,951.9662947517454
neyveli_ext_tps_ii__unit_01,coal,250.0,6391.0,82.0,81.0,1155.2331501355452
neyveli_ext_tps_ii__unit_02,coal,250.0,6713.0,92.0,87.0,1218.940625423768
neyveli_new_tpp_neyveli_extension__unit_01,coal,500.0,6465.0,83.0,82.0,2357.2719449231513
neyveli_new_tpp_neyveli_extension__unit_02,coal,500.0,6062.0,83.0,81.0,2218.791966032015
neyveli_tps_z__unit_01,coal,250.0,5462.0,101.0,98.0,1009.441462211451
neyveli_tps_ii__unit_03,coal,210.0,5474.0,110.0,107.0,849.5653482161064
neyveli_tps_ii__unit_02,coal,210.0,5726.0,97.0,95.0,892.2042837485967
neyveli_tps_ii__unit_01,coal,210.0,6260.0,106.0,103.0,975.4793737839474
neyveli_tps_ii__unit_04,coal,210.0,6320.0,97.0,95.0,987.2931083857881
neyveli_tps_ii__unit_05,coal,210.0,6378.0,94.0,90.0,997.7403420360873
neyveli_tps_ii__unit_06,coal,210.0,6301.0,97.0,95.0,987.4976825401898
neyveli_tps_ii__unit_07,coal,210.0,5346.0,101.0,100.0,843.0909340005287
north_chennai_tps__unit_01,coal,210.0,5605.0,112.0,112.0,836.4600382443833
north_chennai_tps__unit_02,coal,210.0,4966.0,115.0,113.0,743.5231463286913
north_chennai_tps__unit_03,coal,210.0,4965.0,107.0,104.0,742.3270973031966
north_chennai_tps__unit_05,coal,600.0,5462.0,110.0,105.0,2347.5833414670137
north_chennai_tps__unit_04,coal,600.0,5841.0,112.0,108.0,2523.1204109362366
north_chennai_tps__unit_06,coal,800.0,5963.0,99.0,99.0,3468.1199644860553
opg_power_generation_private_ltd__unit_01,coal,77.0,5913.0,96.0,94.0,332.928013737788
