name,capacity_mw,max_abs_flow_mw,max_loading_pct,hours_at_or_above_99pct
vellore__coimbatore,2500.0,2500.0000000000255,100.00000000000102,7140
villupuram__tirunelveli,1000.0,1000.0000000000036,100.00000000000036,8433
villupuram__coimbatore,1000.0,1000.0000000000009,100.00000000000009,8741
chennai_north__chennai_south,3500.0,3500.0,100.0,6732
chennai_north__vellore,1000.0,1000.0,100.0,8758
trichy__madurai,7000.0,7000.0,100.0,992
coimbatore__tirunelveli,1000.0,1000.0,100.0,7991
coimbatore__trichy,9500.0,9500.0,100.0,674
erode__tirunelveli,1000.0,1000.0,100.0,8399
erode__trichy,8750.0,8750.0,100.0,351
erode__coimbatore,5000.0,5000.0,100.0,8582
villupuram__erode,1000.0,1000.0,100.0,8677
vellore__tirunelveli,2500.0,2500.0,100.0,8679
vellore__erode,6750.0,6750.0,100.0,3356
vellore__villupuram,3500.0,3500.0,100.0,6923
chennai_south__trichy,1000.0,1000.0,100.0,2704
chennai_south__villupuram,1000.0,1000.0,100.0,8093
chennai_south__vellore,1000.0,1000.0,100.0,8760
chennai_north__villupuram,2000.0,2000.0,100.0,8760
chennai_north__trichy,9000.0,7873.534163764603,87.48371293071781,0
villupuram__trichy,15250.0,11809.765893159569,77.44108782399717,0
madurai__tirunelveli,14250.0,8433.230920684317,59.18056786445134,0
