,coal,oil_gas,nuclear,hydro,solar,wind
2025-04-01,5607.58,109.52,1508.46,186.41,1188.1,555.14
2025-05-01,4743.67,114.3,1270.82,251.07,1189.1100000000001,2169.54
2025-06-01,5625.37,109.49,1573.24,610.56,1201.72,3685.0
2025-07-01,5151.19,112.56,1667.66,827.54,1285.3,4323.47
2025-08-01,5181.8099999999995,72.81,931.45,810.99,1396.15,3572.37
2025-09-01,5527.55,77.4,732.3,648.3199999999999,1413.78,3358.85
2025-10-01,5041.84,119.76,1274.56,615.34,1217.65,1241.98
2025-11-01,5168.04,117.36,764.78,565.26,984.9,781.24
2025-12-01,5012.09,108.48,918.64,407.0,1327.72,946.27
2026-01-01,5532.22,104.14,1308.8999999999999,280.32,1268.55,1069.75
2026-02-01,5959.6,83.33,1517.38,165.66,1145.84,877.02
2026-03-01,6560.36,112.3,1675.56,169.94,1645.5,506.46000000000004
