date,carrier,modeled_gwh,observed_gwh,difference_gwh,difference_pct
2025-04-07,coal,227.29595267897315,179.67,47.625952678973164,26.507459608712175
2025-04-08,coal,253.0855445484089,200.3,52.78554454840889,26.353242410588564
2025-04-09,coal,256.2654269682785,202.8,53.46542696827851,26.36362276542333
2025-04-10,coal,217.65370000271312,183.38,34.27370000271313,18.68998800453328
2025-04-11,coal,193.9349058786587,155.02,38.914905878658686,25.1031517730994
2025-04-12,coal,190.886512394805,166.24,24.646512394805,14.825861642688281
2025-04-13,coal,202.55133889804193,163.22,39.331338898041935,24.097132029188785
2025-07-07,coal,112.82326993055965,165.1,-52.27673006944035,-31.663676601720383
2025-07-08,coal,124.04340556791361,171.04,-46.99659443208638,-27.476961197431237
2025-07-09,coal,139.97937154254237,166.39,-26.41062845745762,-15.872725799301413
2025-07-10,coal,173.43219279248177,172.64,0.7921927924817851,0.45886978248481536
2025-07-11,coal,155.97044912176975,170.2,-14.229550878230242,-8.360488177573586
2025-07-12,coal,137.6930689219901,161.24,-23.54693107800992,-14.603653608291935
2025-07-13,coal,89.25375590311904,161.53,-72.27624409688096,-44.744780596100384
2025-10-13,coal,212.66437572734188,185.13,27.53437572734188,14.872995045288112
2025-10-14,coal,216.284103912749,189.56,26.724103912749,14.097965769544734
2025-10-15,coal,221.59551730730672,179.69,41.905517307306724,23.32100690483985
2025-10-16,coal,213.78568567058124,175.19,38.59568567058125,22.03075841690807
2025-10-17,coal,216.30107849965694,169.74,46.56107849965693,27.430822728677345
2025-10-18,coal,208.55082782390744,173.06,35.49082782390744,20.507816840348685
2025-10-19,coal,172.02364127401995,149.11,22.913641274019938,15.366938014901708
2026-02-16,coal,126.62371995756695,213.22,-86.59628004243305,-40.61358223545308
2026-02-17,coal,142.2870036464584,218.81,-76.5229963535416,-34.97234877452657
2026-02-18,coal,189.55750335796805,218.9,-29.34249664203196,-13.404521079046122
2026-02-19,coal,134.97195233074206,216.14,-81.16804766925793,-37.55345964155544
2026-02-20,coal,137.50597565111426,219.02,-81.51402434888575,-37.21761681530717
2026-02-21,coal,197.9634156762515,230.45,-32.4865843237485,-14.097020752331742
2026-02-22,coal,222.71464553199937,220.52,2.194645531999356,0.9952138273169582
2025-04-07,oil_gas,3.7,3.7,0.0,0.0
2025-04-08,oil_gas,3.18,3.18,0.0,0.0
2025-04-09,oil_gas,3.990000000000002,3.99,1.7763568394002505e-15,4.452022153885339e-14
2025-04-10,oil_gas,3.9499999999999997,3.95,-4.440892098500626e-16,-1.1242764806330698e-14
2025-04-11,oil_gas,4.010000000000002,4.01,1.7763568394002505e-15,4.429817554614091e-14
2025-04-12,oil_gas,3.97,3.97,0.0,0.0
2025-04-13,oil_gas,3.98,3.98,0.0,0.0
2025-07-07,oil_gas,3.790000000000001,3.79,8.881784197001252e-16,2.34347867994756e-14
2025-07-08,oil_gas,3.72,3.72,0.0,0.0
2025-07-09,oil_gas,3.750000000000001,3.75,8.881784197001252e-16,2.3684757858670007e-14
2025-07-10,oil_gas,3.580000000000002,3.58,1.7763568394002505e-15,4.9618906128498615e-14
2025-07-11,oil_gas,3.539999999999999,3.54,-8.881784197001252e-16,-2.5089785867235178e-14
2025-07-12,oil_gas,3.49,3.49,0.0,0.0
2025-07-13,oil_gas,3.2500000000000004,3.25,4.440892098500626e-16,1.3664283380001927e-14
2025-10-13,oil_gas,4.020000000000001,4.02,1.7763568394002505e-15,4.418798107960823e-14
2025-10-14,oil_gas,4.000000000000001,4.0,8.881784197001252e-16,2.220446049250313e-14
2025-10-15,oil_gas,3.77,3.77,0.0,0.0
2025-10-16,oil_gas,3.94,3.94,0.0,0.0
2025-10-17,oil_gas,3.9,3.9,0.0,0.0
2025-10-18,oil_gas,4.02,4.02,0.0,0.0
2025-10-19,oil_gas,4.1,4.1,0.0,0.0
2026-02-16,oil_gas,3.0900000000000007,3.09,8.881784197001252e-16,2.8743638177997584e-14
2026-02-17,oil_gas,3.080000000000001,3.08,8.881784197001252e-16,2.883696167857549e-14
2026-02-18,oil_gas,3.0700000000000007,3.07,8.881784197001252e-16,2.893089314984121e-14
2026-02-19,oil_gas,3.070000000000001,3.07,1.3322676295501878e-15,4.339633972476182e-14
2026-02-20,oil_gas,3.000000000000001,3.0,8.881784197001252e-16,2.9605947323337504e-14
2026-02-21,oil_gas,3.0500000000000003,3.05,4.440892098500626e-16,1.4560301962297137e-14
2026-02-22,oil_gas,3.050000000000001,3.05,1.3322676295501878e-15,4.368090588689141e-14
2025-04-07,nuclear,54.31,54.31,0.0,0.0
2025-04-08,nuclear,54.25,54.25,0.0,0.0
2025-04-09,nuclear,54.32,54.32,0.0,0.0
2025-04-10,nuclear,54.15,54.15,0.0,0.0
