fiscal_week,date,technology,observed_mu,modeled_mu,error_mu,absolute_error_mu,percentage_error
1,2025-04-02,coal,188.7,242.09803925783064,53.398039257830646,53.398039257830646,28.297848043365473
1,2025-04-02,oil_gas,2.95,0.0,-2.95,2.95,-100.0
1,2025-04-02,nuclear,54.48,35.83917354120941,-18.640826458790585,18.640826458790585,-34.215907596899015
1,2025-04-02,hydro,9.34,16.485078237612054,7.145078237612054,7.145078237612054,76.49976699798773
1,2025-04-02,solar,41.34,66.7272620638009,25.38726206380089,25.38726206380089,61.41089033333548
1,2025-04-02,wind,11.09,45.66035355043748,34.570353550437474,34.570353550437474,311.72546032856155
1,2025-04-02,comparable_total,307.9,406.80990665089047,98.90990665089049,98.90990665089049,32.12403593728175
2,2025-04-10,coal,183.38,235.32393764914272,51.943937649142725,51.943937649142725,28.32584668401283
2,2025-04-10,oil_gas,3.95,0.0,-3.95,3.95,-100.0
2,2025-04-10,nuclear,54.15,35.83917354120941,-18.310826458790586,18.310826458790586,-33.815007310785944
2,2025-04-10,hydro,3.93,16.92200503175439,12.992005031754392,12.992005031754392,330.5853697647428
2,2025-04-10,solar,3.23,67.28005231890991,64.0500523189099,64.0500523189099,1982.9737560034025
2,2025-04-10,wind,10.58,44.320028703717206,33.74002870371721,33.74002870371721,318.9038629840946
2,2025-04-10,comparable_total,259.22,399.6851972447336,140.4651972447336,140.4651972447336,54.18763877969816
3,2025-04-19,coal,180.89,233.91687383639777,53.02687383639778,53.02687383639778,29.314430779146324
3,2025-04-19,oil_gas,2.65,1.0676063598096985,-1.5823936401903014,1.5823936401903014,-59.712967554351
3,2025-04-19,nuclear,54.18,35.83917354120941,-18.340826458790588,18.340826458790588,-33.851654593559594
3,2025-04-19,hydro,5.9,16.526496343276072,10.626496343276072,10.626496343276072,180.11010751315374
3,2025-04-19,solar,41.94,67.85654774811881,25.916547748118816,25.916547748118816,61.79434370080786
3,2025-04-19,wind,35.62,44.320028703717185,8.700028703717187,8.700028703717187,24.424561212007827
3,2025-04-19,comparable_total,321.18,399.5267265325289,78.34672653252892,78.34672653252892,24.39340137384922
4,2025-04-26,coal,198.42,262.0710768479756,63.65107684797559,63.65107684797559,32.078962225569796
4,2025-04-26,oil_gas,4.52,4.952564000000001,0.43256400000000106,0.43256400000000106,9.570000000000025
4,2025-04-26,nuclear,54.4,35.83917354120941,-18.560826458790586,18.560826458790586,-34.11916628454152
4,2025-04-26,hydro,8.1,16.500640175595628,8.400640175595628,8.400640175595628,103.71160710611886
4,2025-04-26,solar,33.03,68.26508787021487,35.23508787021487,35.23508787021487,106.67601535033263
4,2025-04-26,wind,9.44,39.28205523204101,29.842055232041012,29.842055232041012,316.12346644111244
4,2025-04-26,comparable_total,307.91,426.9105976670364,119.0005976670364,119.0005976670364,38.64785088728407
5,2025-04-29,coal,184.97,251.1309698570985,66.16096985709851,66.16096985709851,35.76848670438369
5,2025-04-29,oil_gas,4.39,4.666904000000001,0.2769040000000009,0.2769040000000009,6.307608200455602
5,2025-04-29,nuclear,29.79,35.83917354120941,6.049173541209413,6.049173541209413,20.306054183314583
5,2025-04-29,hydro,6.21,15.643795943716363,9.433795943716362,9.433795943716362,151.91297815968375
5,2025-04-29,solar,36.62,68.31944529875464,31.699445298754647,31.699445298754647,86.56320398349166
5,2025-04-29,wind,12.73,45.53902766160636,32.809027661606365,32.809027661606365,257.72998948630294
5,2025-04-29,comparable_total,274.71,421.13931630238534,146.42931630238536,146.42931630238536,53.30323479392282
6,2025-05-10,coal,176.54,230.55556682699327,54.01556682699328,54.01556682699328,30.59678646595292
6,2025-05-10,oil_gas,3.74,0.0,-3.74,3.74,-100.0
6,2025-05-10,nuclear,29.67,35.83917354120941,6.16917354120941,6.16917354120941,20.792630742195517
6,2025-05-10,hydro,5.54,18.802124660792916,13.262124660792917,13.262124660792917,239.38853178326565
6,2025-05-10,solar,43.14,65.33029219402867,22.19029219402867,22.19029219402867,51.43785858606553
6,2025-05-10,wind,34.73,49.95316157479932,15.22316157479932,15.22316157479932,43.83288676878583
6,2025-05-10,comparable_total,293.36,400.4803187978236,107.12031879782359,107.12031879782359,36.51497095644382
7,2025-05-14,coal,179.31,249.48459460236248,70.17459460236248,70.17459460236248,39.135906866523044
7,2025-05-14,oil_gas,3.38,0.0,-3.38,3.38,-100.0
7,2025-05-14,nuclear,29.86,35.83917354120941,5.979173541209413,5.979173541209413,20.024023915637684
7,2025-05-14,hydro,10.25,17.862415611972413,7.612415611972413,7.612415611972413,74.2674693850967
7,2025-05-14,solar,38.94,65.48711035915153,26.54711035915153,26.54711035915153,68.17439742976767
7,2025-05-14,wind,47.21,45.48448500552114,-1.7255149944788641,1.7255149944788641,-3.654977747254531
7,2025-05-14,comparable_total,308.95,414.157779120217,105.20777912021703,105.20777912021703,34.05333520641432
8,2025-05-23,coal,147.19,213.12090287193874,65.93090287193874,65.93090287193874,44.79305854469648
8,2025-05-23,oil_gas,3.86,0.0,-3.86,3.86,-100.0
8,2025-05-23,nuclear,54.42,35.83917354120941,-18.58082645879059,18.58082645879059,-34.14337827782173
8,2025-05-23,hydro,7.45,17.463056252136404,10.013056252136405,10.013056252136405,134.403439625992
8,2025-05-23,solar,43.8,65.78533168889452,21.98533168889452,21.98533168889452,50.19482120752174
8,2025-05-23,wind,77.96,45.48448500552116,-32.475514994478836,32.475514994478836,-41.65663801241514
8,2025-05-23,comparable_total,334.68,377.69294935970026,43.01294935970026,43.01294935970026,12.851962877883429
9,2025-05-31,coal,139.07,195.129216806199,56.059216806199004,56.059216806199004,40.310071766879275
9,2025-05-31,oil_gas,3.53,0.0,-3.53,3.53,-100.0
9,2025-05-31,nuclear,54.77,35.83917354120941,-18.93082645879059,18.93082645879059,-34.56422577832863
9,2025-05-31,hydro,17.68,17.46613351077531,-0.21386648922468865,0.21386648922468865,-1.2096520883749358
9,2025-05-31,solar,29.53,65.98427914497837,36.45427914497837,36.45427914497837,123.4482869792698
9,2025-05-31,wind,130.18,43.93252991984505,-86.24747008015495,86.24747008015495,-66.25247355980562
9,2025-05-31,comparable_total,374.76,358.35133292300713,-16.408667076992856,16.408667076992856,-4.378446759791028
10,2025-06-06,coal,224.15,239.14293283502337,14.992932835023367,14.992932835023367,6.688794483615153
10,2025-06-06,oil_gas,3.16,0.0,-3.16,3.16,-100.0
10,2025-06-06,nuclear,54.57,35.83917354120941,-18.730826458790588,18.730826458790588,-34.324402526645756
10,2025-06-06,hydro,15.52,23.848310671870532,8.328310671870533,8.328310671870533,53.66179556617611
10,2025-06-06,solar,40.41,60.2164879466845,19.806487946684506,19.806487946684506,49.01382812839522
10,2025-06-06,wind,53.73,61.30615284179921,7.576152841799214,7.576152841799214,14.100414743717131
10,2025-06-06,comparable_total,391.54,420.35305783658697,28.81305783658695,28.81305783658695,7.358905306376602
11,2025-06-09,coal,199.48,199.40734190177457,-0.07265809822541769,0.07265809822541769,-0.036423750864957735
11,2025-06-09,oil_gas,3.81,0.0,-3.81,3.81,-100.0
11,2025-06-09,nuclear,49.45,35.83917354120941,-13.61082645879059,13.61082645879059,-27.52442155468269
11,2025-06-09,hydro,9.72,22.411575795399532,12.691575795399531,12.691575795399531,130.571767442382
11,2025-06-09,solar,39.56,60.25264709752087,20.69264709752087,20.69264709752087,52.30699468534091
11,2025-06-09,wind,117.75,53.91719581071892,-63.83280418928108,63.83280418928108,-54.210449417648476
11,2025-06-09,comparable_total,419.77,371.8279341466233,-47.942065853376675,47.942065853376675,-11.4210319587814
12,2025-06-20,coal,173.16,238.53093039948547,65.37093039948547,65.37093039948547,37.751750057452924
12,2025-06-20,oil_gas,3.53,0.0,-3.53,3.53,-100.0
12,2025-06-20,nuclear,54.62,35.83917354120941,-18.780826458790585,18.780826458790585,-34.384522993025605
12,2025-06-20,hydro,24.8,24.089192919269216,-0.7108070807307847,0.7108070807307847,-2.866157583591874
12,2025-06-20,solar,43.67,60.31259801521733,16.64259801521733,16.64259801521733,38.10991072868635
12,2025-06-20,wind,132.61,59.40148069119657,-73.20851930880345,73.20851930880345,-55.2058813881332
12,2025-06-20,comparable_total,432.39,418.17337556637807,-14.216624433621917,14.216624433621917,-3.2879170271333558
13,2025-06-28,coal,181.18,239.9486371002016,58.7686371002016,58.7686371002016,32.436602881223976
13,2025-06-28,oil_gas,3.69,0.0,-3.69,3.69,-100.0
13,2025-06-28,nuclear,54.23,35.83917354120941,-18.390826458790585,18.390826458790585,-33.912643294837885
13,2025-06-28,hydro,27.61,22.85476134897324,-4.755238651026758,4.755238651026758,-17.222885371339217
13,2025-06-28,solar,40.21,60.28413825569953,20.07413825569953,20.07413825569953,49.92324858418187
13,2025-06-28,wind,116.97,55.82186796132142,-61.148132038678575,61.148132038678575,-52.27676501554123
13,2025-06-28,comparable_total,423.89,414.74857820740516,-9.141421792594826,9.141421792594826,-2.156555189458309
14,2025-07-01,coal,181.2,226.2353226837793,45.0353226837793,45.0353226837793,24.853930840937803
14,2025-07-01,oil_gas,3.85,0.0,-3.85,3.85,-100.0
14,2025-07-01,nuclear,54.64,35.83917354120941,-18.80082645879059,18.80082645879059,-34.40854037113944
14,2025-07-01,hydro,23.33,27.777167126162865,4.447167126162867,4.447167126162867,19.062010827959142
14,2025-07-01,solar,42.4,57.31844496471616,14.918444964716159,14.918444964716159,35.18501170923623
14,2025-07-01,wind,123.78,69.69211857698353,-54.08788142301647,54.08788142301647,-43.69678576750402
14,2025-07-01,comparable_total,429.2,416.86222689285125,-12.337773107148735,12.337773107148735,-2.874597648450311
15,2025-07-09,coal,166.39,241.6883084659782,75.29830846597821,75.29830846597821,45.25410689703601
15,2025-07-09,oil_gas,3.75,0.0,-3.75,3.75,-100.0
15,2025-07-09,nuclear,54.13,35.83917354120941,-18.29082645879059,18.29082645879059,-33.790553221486405
15,2025-07-09,hydro,24.33,28.836646617092626,4.506646617092628,4.506646617092628,18.523002947359753
