date,coal,oil_gas,nuclear,hydro,solar,wind,other_res,comparable_total
2025-04-02,188.7,2.95,54.48,9.34,41.34,11.09,,307.9
2025-04-10,183.38,3.95,54.15,3.93,3.23,10.58,,259.22
2025-04-19,180.89,2.65,54.18,5.9,41.94,35.62,,321.18
2025-04-26,198.42,4.52,54.4,8.1,33.03,9.44,,307.91
2025-04-29,184.97,4.39,29.79,6.21,36.62,12.73,,274.71
2025-05-10,176.54,3.74,29.67,5.54,43.14,34.73,,293.36
2025-05-14,179.31,3.38,29.86,10.25,38.94,47.21,,308.95
2025-05-23,147.19,3.86,54.42,7.45,43.8,77.96,,334.68
2025-05-31,139.07,3.53,54.77,17.68,29.53,130.18,,374.76
2025-06-06,224.15,3.16,54.57,15.52,40.41,53.73,,391.54
2025-06-09,199.48,3.81,49.45,9.72,39.56,117.75,,419.77
2025-06-20,173.16,3.53,54.62,24.8,43.67,132.61,,432.39
2025-06-28,181.18,3.69,54.23,27.61,40.21,116.97,,423.89
2025-07-01,181.2,3.85,54.64,23.33,42.4,123.78,,429.2
2025-07-09,166.39,3.75,54.13,24.33,46.54,137.09,,432.23
2025-07-16,151.3,3.56,54.03,25.37,38.28,143.33,,415.87
2025-07-26,162.42,3.85,53.31,30.36,32.35,170.84,,453.13
2025-07-31,165.11,3.79,52.14,31.62,47.75,134.39,,434.8
2025-08-08,188.1,3.83,29.95,29.05,43.35,68.27,,362.55
2025-08-14,173.6,1.83,29.94,21.83,47.12,147.13,,421.45
2025-08-22,185.0,1.85,29.91,27.11,36.56,43.52,,323.95
2025-08-26,186.25,1.82,30.04,19.1,53.91,144.82,,435.94
2025-09-05,182.35,1.83,24.4,29.08,49.22,126.8,,413.68
2025-09-09,198.95,1.83,24.64,24.89,43.69,30.88,,324.88
2025-09-16,192.15,2.41,24.71,20.4,44.95,97.92,,382.54
2025-09-25,190.48,3.41,24.55,20.58,43.35,127.31,,409.68
2025-09-30,194.99,3.3,24.6,22.71,47.87,128.82,,422.29
2025-10-08,197.58,3.2,42.21,21.23,38.78,12.44,,315.44
2025-10-14,189.56,4.0,49.21,18.57,30.32,13.57,,305.23
2025-10-25,144.51,4.04,46.79,18.76,44.78,37.7,,296.58
2025-11-01,158.5,4.1,24.5,20.71,50.28,27.56,,285.65
2025-11-04,185.65,4.14,24.64,24.29,46.6,43.97,,329.29
2025-11-11,183.82,3.92,24.59,24.8,36.76,3.5,,277.39
2025-11-21,183.41,3.69,24.68,17.2,38.39,29.16,,296.53
2025-11-28,185.49,2.45,29.6,17.28,11.5,30.93,,277.25
2025-12-02,144.47,3.44,29.55,15.44,42.27,7.42,,242.59
2025-12-12,182.05,3.61,29.64,18.06,41.49,30.05,,304.9
2025-12-19,171.67,3.39,29.66,11.63,47.99,41.39,,305.73
2025-12-24,160.64,3.64,29.6,11.36,51.88,20.19,,277.31
2025-12-31,175.57,3.59,29.76,11.1,39.36,9.43,,268.81
2026-01-06,168.77,3.43,29.74,10.91,28.54,44.8,,286.19
2026-01-13,200.38,3.5,29.83,7.77,25.62,36.92,,304.02
2026-01-23,175.52,2.74,54.05,11.55,48.87,28.45,,321.18
2026-01-30,200.35,3.12,45.73,8.93,51.81,35.02,,344.96
2026-02-05,204.32,2.32,54.2,7.06,27.8,38.03,,333.73
2026-02-13,227.73,3.08,54.22,7.72,44.06,37.6,,374.41
2026-02-21,230.45,3.05,54.19,5.17,36.85,27.01,,356.72
2026-02-24,232.07,3.05,54.24,4.73,43.88,20.56,,358.53
2026-03-02,218.15,3.41,54.14,3.76,50.68,11.39,,341.53
2026-03-09,197.75,4.4,54.12,5.0,48.0,28.62,,337.89
2026-03-21,202.79,3.15,54.13,5.21,51.43,11.83,,328.54
2026-03-23,204.92,3.46,53.98,4.2,55.9,15.8,,338.26
2026-03-30,235.67,3.64,53.86,7.62,54.61,13.48,,368.88
