fiscal_week,week_start,week_end,selected_day,selection_rule,selected_demand_mwh
1,2025-04-01,2025-04-06,2025-04-02,highest modeled daily demand in Monday-Sunday week,415251.88999999996
2,2025-04-07,2025-04-13,2025-04-10,highest modeled daily demand in Monday-Sunday week,409308.35
3,2025-04-14,2025-04-20,2025-04-19,highest modeled daily demand in Monday-Sunday week,407902.36
4,2025-04-21,2025-04-27,2025-04-26,highest modeled daily demand in Monday-Sunday week,441367.4799999999
5,2025-04-28,2025-05-04,2025-04-29,highest modeled daily demand in Monday-Sunday week,432062.7799999999
6,2025-05-05,2025-05-11,2025-05-10,highest modeled daily demand in Monday-Sunday week,408623.31
7,2025-05-12,2025-05-18,2025-05-14,highest modeled daily demand in Monday-Sunday week,422973.38999999996
8,2025-05-19,2025-05-25,2025-05-23,highest modeled daily demand in Monday-Sunday week,383176.76
9,2025-05-26,2025-06-01,2025-05-31,highest modeled daily demand in Monday-Sunday week,361583.55000000005
10,2025-06-02,2025-06-08,2025-06-06,highest modeled daily demand in Monday-Sunday week,428402.18999999994
11,2025-06-09,2025-06-15,2025-06-09,highest modeled daily demand in Monday-Sunday week,375362.2
12,2025-06-16,2025-06-22,2025-06-20,highest modeled daily demand in Monday-Sunday week,426908.07999999996
13,2025-06-23,2025-06-29,2025-06-28,highest modeled daily demand in Monday-Sunday week,419905.19999999995
14,2025-06-30,2025-07-06,2025-07-01,highest modeled daily demand in Monday-Sunday week,421370.70999999996
15,2025-07-07,2025-07-13,2025-07-09,highest modeled daily demand in Monday-Sunday week,437390.2199999999
16,2025-07-14,2025-07-20,2025-07-16,highest modeled daily demand in Monday-Sunday week,425291.89999999997
17,2025-07-21,2025-07-27,2025-07-26,highest modeled daily demand in Monday-Sunday week,382876.38
18,2025-07-28,2025-08-03,2025-07-31,highest modeled daily demand in Monday-Sunday week,429985.30999999994
19,2025-08-04,2025-08-10,2025-08-08,highest modeled daily demand in Monday-Sunday week,390095.61
20,2025-08-11,2025-08-17,2025-08-14,highest modeled daily demand in Monday-Sunday week,350283.68000000005
21,2025-08-18,2025-08-24,2025-08-22,highest modeled daily demand in Monday-Sunday week,407041.65
22,2025-08-25,2025-08-31,2025-08-26,highest modeled daily demand in Monday-Sunday week,399349.82
23,2025-09-01,2025-09-07,2025-09-05,highest modeled daily demand in Monday-Sunday week,407058.31999999995
24,2025-09-08,2025-09-14,2025-09-09,highest modeled daily demand in Monday-Sunday week,393024.68
25,2025-09-15,2025-09-21,2025-09-16,highest modeled daily demand in Monday-Sunday week,385710.06
26,2025-09-22,2025-09-28,2025-09-25,highest modeled daily demand in Monday-Sunday week,371667.75
27,2025-09-29,2025-10-05,2025-09-30,highest modeled daily demand in Monday-Sunday week,376735.97000000003
28,2025-10-06,2025-10-12,2025-10-08,highest modeled daily demand in Monday-Sunday week,376577.98
29,2025-10-13,2025-10-19,2025-10-14,highest modeled daily demand in Monday-Sunday week,357799.16000000003
30,2025-10-20,2025-10-26,2025-10-25,highest modeled daily demand in Monday-Sunday week,315816.2100000001
31,2025-10-27,2025-11-02,2025-11-01,highest modeled daily demand in Monday-Sunday week,368992.39
32,2025-11-03,2025-11-09,2025-11-04,highest modeled daily demand in Monday-Sunday week,377183.09
33,2025-11-10,2025-11-16,2025-11-11,highest modeled daily demand in Monday-Sunday week,370317.78
34,2025-11-17,2025-11-23,2025-11-21,highest modeled daily demand in Monday-Sunday week,349576.81000000006
35,2025-11-24,2025-11-30,2025-11-28,highest modeled daily demand in Monday-Sunday week,327676.11000000004
36,2025-12-01,2025-12-07,2025-12-02,highest modeled daily demand in Monday-Sunday week,319027.81000000006
37,2025-12-08,2025-12-14,2025-12-12,highest modeled daily demand in Monday-Sunday week,339909.61000000004
38,2025-12-15,2025-12-21,2025-12-19,highest modeled daily demand in Monday-Sunday week,339952.96
39,2025-12-22,2025-12-28,2025-12-24,highest modeled daily demand in Monday-Sunday week,351071.78
40,2025-12-29,2026-01-04,2025-12-31,highest modeled daily demand in Monday-Sunday week,370017.01
41,2026-01-05,2026-01-11,2026-01-06,highest modeled daily demand in Monday-Sunday week,354274.23000000004
42,2026-01-12,2026-01-18,2026-01-13,highest modeled daily demand in Monday-Sunday week,328133.88000000006
43,2026-01-19,2026-01-25,2026-01-23,highest modeled daily demand in Monday-Sunday week,347585.96
44,2026-01-26,2026-02-01,2026-01-30,highest modeled daily demand in Monday-Sunday week,347605.32000000007
45,2026-02-02,2026-02-08,2026-02-05,highest modeled daily demand in Monday-Sunday week,362488.07
46,2026-02-09,2026-02-15,2026-02-13,highest modeled daily demand in Monday-Sunday week,371613.17
47,2026-02-16,2026-02-22,2026-02-21,highest modeled daily demand in Monday-Sunday week,385452.56
48,2026-02-23,2026-03-01,2026-02-24,highest modeled daily demand in Monday-Sunday week,400708.69
49,2026-03-02,2026-03-08,2026-03-02,highest modeled daily demand in Monday-Sunday week,356807.64
50,2026-03-09,2026-03-15,2026-03-09,highest modeled daily demand in Monday-Sunday week,351626.18000000005
51,2026-03-16,2026-03-22,2026-03-21,highest modeled daily demand in Monday-Sunday week,341980.10000000003
52,2026-03-23,2026-03-29,2026-03-23,highest modeled daily demand in Monday-Sunday week,347585.96
53,2026-03-30,2026-03-31,2026-03-30,highest modeled daily demand in Monday-Sunday week,347605.32000000007
