source_row,quarter,State,Date,Hourly Demand Met (in MW)
0,1,Tamil Nadu - 2025,01-Jan 12am,2805.393173409605
0,2,Tamil Nadu - 2025,01-Jan 12am,2804.786491033251
0,3,Tamil Nadu - 2025,01-Jan 12am,2803.2697850923664
0,4,Tamil Nadu - 2025,01-Jan 12am,2802.2205504647777
1,1,Tamil Nadu - 2025,01-Jan 1am,2801.638787150488
1,2,Tamil Nadu - 2025,01-Jan 1am,2792.12822619238
1,3,Tamil Nadu - 2025,01-Jan 1am,2773.688867590457
1,4,Tamil Nadu - 2025,01-Jan 1am,2743.944119066675
2,1,Tamil Nadu - 2025,01-Jan 2am,2702.893980621036
2,2,Tamil Nadu - 2025,01-Jan 2am,2674.1942748789047
2,3,Tamil Nadu - 2025,01-Jan 2am,2657.845001840282
2,4,Tamil Nadu - 2025,01-Jan 2am,2653.3267426597777
3,1,Tamil Nadu - 2025,01-Jan 3am,2660.639497337393
3,2,Tamil Nadu - 2025,01-Jan 3am,2659.243956320095
3,3,Tamil Nadu - 2025,01-Jan 3am,2649.1401196078823
3,4,Tamil Nadu - 2025,01-Jan 3am,2629.1164267346285
4,1,Tamil Nadu - 2025,01-Jan 4am,2599.172877700332
4,2,Tamil Nadu - 2025,01-Jan 4am,2587.118144854797
4,3,Tamil Nadu - 2025,01-Jan 4am,2592.9522281980244
4,4,Tamil Nadu - 2025,01-Jan 4am,2615.206749246848
5,1,Tamil Nadu - 2025,01-Jan 5am,2653.881708001268
5,2,Tamil Nadu - 2025,01-Jan 5am,2689.978703010471
5,3,Tamil Nadu - 2025,01-Jan 5am,2723.497734274457
5,4,Tamil Nadu - 2025,01-Jan 5am,2755.4618547138043
6,1,Tamil Nadu - 2025,01-Jan 6am,2785.871064328514
6,2,Tamil Nadu - 2025,01-Jan 6am,2827.585447045931
6,3,Tamil Nadu - 2025,01-Jan 6am,2880.605002866054
6,4,Tamil Nadu - 2025,01-Jan 6am,2948.2684857595013
7,1,Tamil Nadu - 2025,01-Jan 7am,3030.5758957262738
7,2,Tamil Nadu - 2025,01-Jan 7am,3094.6346250153238
7,3,Tamil Nadu - 2025,01-Jan 7am,3140.4446736266527
7,4,Tamil Nadu - 2025,01-Jan 7am,3173.0548056317493
8,1,Tamil Nadu - 2025,01-Jan 8am,3192.465021030612
8,2,Tamil Nadu - 2025,01-Jan 8am,3201.275343145357
8,3,Tamil Nadu - 2025,01-Jan 8am,3199.485771975983
8,4,Tamil Nadu - 2025,01-Jan 8am,3176.283863848048
9,1,Tamil Nadu - 2025,01-Jan 9am,3131.6696187615557
9,2,Tamil Nadu - 2025,01-Jan 9am,3127.917675441031
9,3,Tamil Nadu - 2025,01-Jan 9am,3165.0280338864786
9,4,Tamil Nadu - 2025,01-Jan 9am,3246.624671910935
10,1,Tamil Nadu - 2025,01-Jan 10am,3372.7075895143967
10,2,Tamil Nadu - 2025,01-Jan 10am,3459.258281094112
10,3,Tamil Nadu - 2025,01-Jan 10am,3506.2767466500795
10,4,Tamil Nadu - 2025,01-Jan 10am,3522.5573827414114
11,1,Tamil Nadu - 2025,01-Jan 11am,3508.100189368108
11,2,Tamil Nadu - 2025,01-Jan 11am,3494.1572927782568
11,3,Tamil Nadu - 2025,01-Jan 11am,3480.7286929718566
11,4,Tamil Nadu - 2025,01-Jan 11am,3462.023824881778
12,1,Tamil Nadu - 2025,01-Jan 12pm,3438.042688508022
12,2,Tamil Nadu - 2025,01-Jan 12pm,3412.2765480052744
12,3,Tamil Nadu - 2025,01-Jan 12pm,3384.725403373537
12,4,Tamil Nadu - 2025,01-Jan 12pm,3355.685360113166
13,1,Tamil Nadu - 2025,01-Jan 1pm,3325.156418224164
13,2,Tamil Nadu - 2025,01-Jan 1pm,3287.8706805496936
13,3,Tamil Nadu - 2025,01-Jan 1pm,3243.82814708976
13,4,Tamil Nadu - 2025,01-Jan 1pm,3187.584754136383
14,1,Tamil Nadu - 2025,01-Jan 2pm,3119.140501689561
14,2,Tamil Nadu - 2025,01-Jan 2pm,3076.427669153996
14,3,Tamil Nadu - 2025,01-Jan 2pm,3059.446256529684
14,4,Tamil Nadu - 2025,01-Jan 2pm,3065.07557262676
15,1,Tamil Nadu - 2025,01-Jan 3pm,3093.315617445222
15,2,Tamil Nadu - 2025,01-Jan 3pm,3124.958258719585
15,3,Tamil Nadu - 2025,01-Jan 3pm,3160.003496449846
15,4,Tamil Nadu - 2025,01-Jan 3pm,3207.642627385347
