source_row,quarter,State,Date,Hourly Demand Met (in MW)
0,1,Tamil Nadu - 2026,01-Jan 12am,3288.6725
0,2,Tamil Nadu - 2026,01-Jan 12am,3288.6725
0,3,Tamil Nadu - 2026,01-Jan 12am,3288.6725
0,4,Tamil Nadu - 2026,01-Jan 12am,3288.6725
1,1,Tamil Nadu - 2026,01-Jan 1am,3232.4425
1,2,Tamil Nadu - 2026,01-Jan 1am,3232.4425
1,3,Tamil Nadu - 2026,01-Jan 1am,3232.4425
1,4,Tamil Nadu - 2026,01-Jan 1am,3232.4425
2,1,Tamil Nadu - 2026,01-Jan 2am,3172.655
2,2,Tamil Nadu - 2026,01-Jan 2am,3172.655
2,3,Tamil Nadu - 2026,01-Jan 2am,3172.655
2,4,Tamil Nadu - 2026,01-Jan 2am,3172.655
3,1,Tamil Nadu - 2026,01-Jan 3am,3125.645
3,2,Tamil Nadu - 2026,01-Jan 3am,3125.645
3,3,Tamil Nadu - 2026,01-Jan 3am,3125.645
3,4,Tamil Nadu - 2026,01-Jan 3am,3125.645
4,1,Tamil Nadu - 2026,01-Jan 4am,3161.315
4,2,Tamil Nadu - 2026,01-Jan 4am,3161.315
4,3,Tamil Nadu - 2026,01-Jan 4am,3161.315
4,4,Tamil Nadu - 2026,01-Jan 4am,3161.315
5,1,Tamil Nadu - 2026,01-Jan 5am,3264.2875
5,2,Tamil Nadu - 2026,01-Jan 5am,3264.2875
5,3,Tamil Nadu - 2026,01-Jan 5am,3264.2875
5,4,Tamil Nadu - 2026,01-Jan 5am,3264.2875
6,1,Tamil Nadu - 2026,01-Jan 6am,3367.98
6,2,Tamil Nadu - 2026,01-Jan 6am,3367.98
6,3,Tamil Nadu - 2026,01-Jan 6am,3367.98
6,4,Tamil Nadu - 2026,01-Jan 6am,3367.98
7,1,Tamil Nadu - 2026,01-Jan 7am,3644.78
7,2,Tamil Nadu - 2026,01-Jan 7am,3644.78
7,3,Tamil Nadu - 2026,01-Jan 7am,3644.78
7,4,Tamil Nadu - 2026,01-Jan 7am,3644.78
8,1,Tamil Nadu - 2026,01-Jan 8am,3797.9975
8,2,Tamil Nadu - 2026,01-Jan 8am,3797.9975
8,3,Tamil Nadu - 2026,01-Jan 8am,3797.9975
8,4,Tamil Nadu - 2026,01-Jan 8am,3797.9975
9,1,Tamil Nadu - 2026,01-Jan 9am,4046.1875
9,2,Tamil Nadu - 2026,01-Jan 9am,4046.1875
9,3,Tamil Nadu - 2026,01-Jan 9am,4046.1875
9,4,Tamil Nadu - 2026,01-Jan 9am,4046.1875
10,1,Tamil Nadu - 2026,01-Jan 10am,4108.31
10,2,Tamil Nadu - 2026,01-Jan 10am,4108.31
