component_type,component_id,excel_row,record_kind,unit_sequence,source,plant_name,state,district,commissioning_date,capacity_mw,implementing_agency,duplicate_group_size
Generator,itpcl_or_cuddalore_tpp__unit_01,9,unit,1,Coal,ITPCL or Cuddalore TPP,Tamil Nadu,Cuddalore,2015-09-01,600.0,IL&FS Tamil Nadu Power Co. Ltd.,1
Generator,itpcl_or_cuddalore_tpp__unit_02,10,unit,2,Coal,ITPCL or Cuddalore TPP,Tamil Nadu,Cuddalore,2016-04-01,600.0,IL&FS Tamil Nadu Power Co. Ltd.,1
Generator,mettur_tps__unit_01,11,unit,1,Coal,Mettur TPS,Tamil Nadu,Salem,1987-01-07,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,mettur_tps__unit_02,12,unit,2,Coal,Mettur TPS,Tamil Nadu,Salem,1987-01-12,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,mettur_tps__unit_03,13,unit,3,Coal,Mettur TPS,Tamil Nadu,Salem,1989-03-22,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,mettur_tps__unit_04,14,unit,4,Coal,Mettur TPS,Tamil Nadu,Salem,1990-03-27,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,mettur_tps__unit_05,15,unit,5,Coal,Mettur TPS,Tamil Nadu,Salem,2012-10-11,600.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,muthiara_tpp__unit_01,16,unit,1,Coal,Muthiara TPP,Tamil Nadu,Thoothukudi,2014-12-02,600.0,Coastal Energen Pvt. Ltd. (CEPL),1
Generator,muthiara_tpp__unit_02,17,unit,2,Coal,Muthiara TPP,Tamil Nadu,Thoothukudi,2016-01-02,600.0,Coastal Energen Pvt. Ltd. (CEPL),1
Generator,neyveli_ext_tps_i__unit_01,18,unit,1,Coal,Neyveli (EXT) TPS I,Tamil Nadu,Cuddalore,2002-10-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_ext_tps_i__unit_02,19,unit,2,Coal,Neyveli (EXT) TPS I,Tamil Nadu,Cuddalore,2003-07-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_ext_tps_ii__unit_01,20,unit,1,Coal,Neyveli (EXT) TPS II,Tamil Nadu,Cuddalore,2012-02-04,250.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_ext_tps_ii__unit_02,21,unit,2,Coal,Neyveli (EXT) TPS II,Tamil Nadu,Cuddalore,2015-01-24,250.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_new_tpp_neyveli_extension__unit_01,22,unit,1,Coal,Neyveli (New) TPP /Neyveli Extension,Tamil Nadu,Cuddalore,2019-12-01,500.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_new_tpp_neyveli_extension__unit_02,23,unit,2,Coal,Neyveli (New) TPP /Neyveli Extension,Tamil Nadu,Cuddalore,2021-02-01,500.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_tps_z__unit_01,24,unit,1,Coal,Neyveli TPS (Z),Tamil Nadu,Cuddalore,2002-10-01,250.0,ST-CMS Electric Company Pvt. Ltd.,1
Generator,neyveli_tps_ii__unit_03,34,unit,3,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1988-01-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_tps_ii__unit_02,35,unit,2,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1987-02-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_tps_ii__unit_01,36,unit,1,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1986-03-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_tps_ii__unit_04,37,unit,4,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1991-03-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_tps_ii__unit_05,38,unit,5,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1991-12-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_tps_ii__unit_06,39,unit,6,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1992-10-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,neyveli_tps_ii__unit_07,40,unit,7,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1993-06-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1
Generator,north_chennai_tps__unit_01,41,unit,1,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,1994-10-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,north_chennai_tps__unit_02,42,unit,2,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,1995-03-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,north_chennai_tps__unit_03,43,unit,3,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,1996-02-01,210.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,north_chennai_tps__unit_05,44,unit,5,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,2013-09-13,600.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,north_chennai_tps__unit_04,45,unit,4,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,2013-03-09,600.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,north_chennai_tps__unit_06,46,unit,6,Coal,North Chennai TPS,Tamil Nadu,Thiruvallur,2026-01-24,800.0,Tamil Nadu Generation & Distribution Corp. Ltd. (TANGEDCO),1
Generator,opg_power_generation_private_ltd__unit_01,47,unit,1,Coal,OPG Power Generation Private Ltd.,Tamil Nadu,Thiruvallur,2024-01-01,77.0,OPG Power Ventures Plc,2
Generator,opg_power_generation_private_ltd__unit_02,48,unit,2,Coal,OPG Power Generation Private Ltd.,Tamil Nadu,Thiruvallur,2024-01-01,77.0,OPG Power Ventures Plc,2
