name,bus,p_nom,p_min_pu,p_max_pu,p_init,e_sum_max,carrier,marginal_cost,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
itpcl_or_cuddalore_tpp__unit_01,Tamil_Nadu,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
itpcl_or_cuddalore_tpp__unit_02,Tamil_Nadu,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
mettur_tps__unit_01,Tamil_Nadu,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
mettur_tps__unit_02,Tamil_Nadu,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
mettur_tps__unit_03,Tamil_Nadu,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
mettur_tps__unit_04,Tamil_Nadu,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
mettur_tps__unit_05,Tamil_Nadu,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
muthiara_tpp__unit_01,Tamil_Nadu,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
muthiara_tpp__unit_02,Tamil_Nadu,600.0,0.55,0.85,0.0,inf,coal,3087.5,True,2394811.242308332,478962.24846166646,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_ext_tps_i__unit_01,Tamil_Nadu,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_ext_tps_i__unit_02,Tamil_Nadu,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_ext_tps_ii__unit_01,Tamil_Nadu,250.0,0.55,0.85,0.0,inf,coal,3087.5,True,997838.0176284717,199567.60352569434,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_ext_tps_ii__unit_02,Tamil_Nadu,250.0,0.55,0.85,0.0,inf,coal,3087.5,True,997838.0176284717,199567.60352569434,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_new_tpp_neyveli_extension__unit_01,Tamil_Nadu,500.0,0.55,0.85,0.0,inf,coal,3087.5,True,1995676.0352569434,399135.2070513887,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_new_tpp_neyveli_extension__unit_02,Tamil_Nadu,500.0,0.55,0.85,0.0,inf,coal,3087.5,True,1995676.0352569434,399135.2070513887,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_z__unit_01,Tamil_Nadu,250.0,0.55,0.85,0.0,inf,coal,3087.5,True,997838.0176284717,199567.60352569434,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_ii__unit_03,Tamil_Nadu,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_ii__unit_02,Tamil_Nadu,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_ii__unit_01,Tamil_Nadu,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
neyveli_tps_ii__unit_04,Tamil_Nadu,210.0,0.55,0.85,0.0,inf,coal,3087.5,True,838183.9348079162,167636.78696158325,8,8,0,8,0.6,0.6,0.55,0.55
