,Tamil_Nadu_demand
0,16322.58
1,15790.42
2,15352.19
3,15113.08
4,14941.89
5,15064.75
6,15289.11
7,16576.47
8,17029.69
9,17919.48
10,18111.48
11,17969.91
12,17819.64
13,17963.7
14,17404.86
15,18132.95
16,18439.46
17,18909.75
18,17935.28
19,17869.06
20,17226.79
21,17072.65
22,17387.97
23,16997.89
24,16315.27
25,15874.31
26,15583.64
27,15260.73
28,15157.08
29,15210.72
30,15524.98
31,16561.74
32,17463.59
33,17776.19
34,18490.75
35,18504.41
36,18541.82
37,18228.55
38,17640.24
39,18721.71
40,18993.79
41,19000.97
42,18116.14
43,18137.72
44,17551.43
45,17494.89
46,17692.55
47,17408.67
48,16669.9
49,16075.42
50,15757.83
51,15475.66
52,15208.52
53,15423.46
54,15526.02
55,16465.0
56,16913.04
57,16594.89
58,16902.96
59,16352.17
60,15936.57
61,15830.89
62,15580.17
63,16109.84
64,16668.84
65,16599.86
66,16573.36
67,16964.5
68,16277.2
69,16357.74
70,16415.7
71,15858.27
72,15096.96
73,14438.02
74,13991.92
75,13799.6
76,13806.56
77,13982.04
78,14437.43
79,15724.18
80,15881.58
81,15875.31
82,16724.26
83,16770.91
84,16634.2
85,16087.86
86,15713.6
87,16321.13
88,17035.14
89,17413.04
90,16800.89
91,17001.97
92,16394.83
93,16220.2
94,15922.96
95,15538.87
96,14478.0
97,13936.31
98,13382.83
99,13089.32
100,13024.58
101,13229.91
102,13468.15
103,14733.97
104,15344.86
105,15385.75
106,15839.86
107,15574.23
108,15658.91
109,15450.39
110,15076.47
111,15895.36
112,16279.54
113,16556.49
114,16059.49
115,16462.55
116,16058.45
117,15934.0
118,16016.99
119,15693.97
120,14784.42
121,14344.78
122,13862.53
123,13576.52
124,13493.79
125,13564.86
126,13675.34
127,14011.89
128,13970.76
129,14023.31
130,14054.7
131,14227.71
132,14310.79
133,14262.51
134,13682.17
135,14258.87
136,14649.47
137,14986.36
138,14532.86
139,13808.8
140,13949.06
141,14125.6
142,14175.23
143,13935.08
144,13062.54
145,12625.85
146,12396.15
147,12510.26
148,12282.12
149,12858.91
150,13564.3
151,14790.32
152,15082.93
153,14884.91
154,15518.04
155,15651.35
156,15936.03
157,15733.87
158,15454.26
159,16048.97
160,16909.87
161,17423.18
162,17228.62
163,17665.71
164,17146.25
165,17041.72
166,17435.02
167,17054.11
168,16073.38
169,15468.05
170,15054.15
171,14741.87
172,14486.82
173,14763.33
174,15221.2
175,16170.02
176,16749.06
177,16746.15
178,17033.31
179,17666.27
180,17393.91
181,16455.63
182,16291.32
183,17060.38
184,17689.7
185,18245.94
186,17722.42
187,17934.74
188,17496.94
189,17277.37
190,17580.66
191,17481.55
192,16535.65
193,15790.54
194,15268.24
195,14963.34
196,14867.19
197,15108.0
198,15312.09
199,16627.14
200,16880.93
201,17007.8
202,17700.28
203,17402.74
204,17453.96
205,16985.18
206,16785.7
207,17365.95
208,18340.17
209,18696.3
210,17887.89
211,18109.54
212,17529.74
213,17276.11
214,17578.51
215,17302.9
216,16421.86
217,15830.63
218,15442.55
219,15005.06
220,14857.66
221,14963.25
222,15073.96
223,16064.05
224,16609.66
225,16791.75
226,17611.45
227,18218.64
228,18031.8
229,17611.26
230,17672.96
231,18621.82
232,18869.52
233,18684.78
234,18381.16
235,18303.59
236,17380.02
237,17371.73
238,17805.0
239,17684.19
240,16632.24
241,15772.0
242,15352.22
243,15064.29
244,14726.94
245,14800.91
246,15573.56
247,16598.46
248,17212.06
249,16900.99
250,17197.11
251,17185.85
252,17073.44
253,16914.84
254,16701.2
255,17636.21
256,17744.65
257,17097.95
258,17449.92
259,16604.35
260,15860.69
261,15784.48
262,16006.14
263,16154.16
264,15198.39
265,14742.95
266,14424.77
267,14174.27
268,14072.54
269,14057.86
270,14446.48
271,15151.67
272,15709.56
273,15633.0
274,16087.9
275,15829.7
276,15607.18
277,15860.73
278,15378.89
279,16367.4
280,16933.42
281,17218.82
282,16797.54
283,16835.12
284,16404.28
285,16739.79
286,16942.19
287,16769.05
288,15896.61
289,15361.17
290,15018.31
291,14648.44
292,14492.01
293,14694.68
294,14950.77
295,15357.28
296,15023.6
297,14704.94
298,14736.07
299,15122.35
300,15007.35
301,14835.84
302,14591.39
303,15227.25
304,14440.33
305,14823.93
306,15310.75
307,16490.82
308,15767.46
309,16154.38
310,16126.22
311,15857.98
312,14959.1
313,14587.46
314,14121.56
315,13536.44
316,13796.38
317,13886.69
318,14446.26
319,15233.17
320,15517.18
321,14208.56
322,14275.64
323,14602.41
324,15792.53
325,15575.87
326,15322.66
327,16101.95
328,16650.36
329,16724.39
330,16449.52
331,16259.48
332,16201.97
333,15775.64
334,15754.21
335,14889.47
336,14193.01
337,13640.72
338,13333.39
339,13179.32
340,12931.62
341,12979.89
342,13622.55
343,14770.44
344,15364.83
345,15845.26
346,16418.58
347,16639.19
348,16717.69
349,16570.06
350,16581.95
351,17420.01
352,17975.78
353,18418.81
354,17666.96
355,17984.72
356,17429.19
357,17426.88
358,17788.28
359,17503.87
360,16621.54
361,15848.25
362,15461.51
363,15166.22
364,14954.02
365,15082.0
366,15053.89
367,15991.74
368,16340.44
369,16630.58
370,16939.11
371,16360.63
372,15847.69
373,15746.17
374,15583.98
375,16322.37
376,16994.74
377,18740.31
378,16837.35
379,17389.3
380,16949.1
381,16897.37
382,17459.75
383,17288.58
384,16687.99
385,16111.49
386,15029.43
387,14665.02
388,14691.19
389,14759.9
390,15103.14
391,16185.4
392,16597.65
393,17073.86
394,17319.54
395,17319.54
396,17336.92
397,16944.98
398,16757.08
399,17532.28
400,18136.41
401,18462.47
402,17698.01
403,18023.51
404,17395.12
405,17460.56
406,17791.36
407,17606.21
408,16551.36
409,16080.58
410,15573.19
411,15318.82
412,15072.34
413,15125.37
414,15324.64
415,16039.26
416,16266.39
417,17317.5
418,17897.88
419,18107.3
420,18027.99
421,17632.89
422,17591.66
423,18074.1
424,18537.1
425,17953.61
426,17576.42
427,17882.64
428,17291.47
429,17425.01
430,17744.58
431,17421.78
432,16651.07
433,16039.0
434,15680.01
435,15323.0
436,15060.23
437,15265.37
438,15472.27
439,16287.93
440,16301.07
441,17061.92
442,17458.63
443,17646.7
444,17521.56
445,17347.9
446,17381.13
447,17939.8
448,18385.89
449,17799.82
450,17845.36
451,18047.35
452,17799.91
453,17726.91
454,18056.99
455,17802.54
456,16926.04
457,16382.53
458,16028.86
459,15822.06
460,15663.28
461,15586.84
462,15386.98
463,15483.71
464,15284.87
465,15330.22
466,15741.79
467,15938.74
468,15917.24
469,15879.32
470,16027.85
471,16639.6
472,16896.37
473,16835.29
474,16246.53
475,16315.25
476,16158.07
477,16241.7
478,16671.7
479,16499.35
480,15704.94
481,15401.99
482,15045.81
483,14832.83
484,14623.77
485,14742.61
486,15003.09
487,16126.47
488,16357.0
489,17451.4
490,17965.04
491,18322.06
492,18506.33
493,17895.88
494,18153.33
495,18680.68
496,18988.71
497,18837.94
498,18583.81
499,18218.96
500,18066.0
501,18092.35
502,18533.31
503,18165.39
