,Tamil_Nadu_demand
0,16322.58
1,16322.58
2,16322.58
3,16322.58
4,15790.42
5,15790.42
6,15790.42
7,15790.42
8,15352.19
9,15352.19
10,15352.19
11,15352.19
12,15113.08
13,15113.08
14,15113.08
15,15113.08
16,14941.89
17,14941.89
18,14941.89
19,14941.89
20,15064.75
21,15064.75
22,15064.75
23,15064.75
24,15289.11
25,15289.11
26,15289.11
27,15289.11
28,16576.47
29,16576.47
30,16576.47
31,16576.47
32,17029.69
33,17029.69
34,17029.69
35,17029.69
36,17919.48
37,17919.48
38,17919.48
39,17919.48
40,18111.48
41,18111.48
42,18111.48
43,18111.48
44,17969.91
45,17969.91
46,17969.91
47,17969.91
48,17819.64
49,17819.64
50,17819.64
51,17819.64
52,17963.7
53,17963.7
54,17963.7
55,17963.7
56,17404.86
57,17404.86
58,17404.86
59,17404.86
60,18132.95
61,18132.95
62,18132.95
63,18132.95
64,18439.46
65,18439.46
66,18439.46
67,18439.46
68,18909.75
69,18909.75
70,18909.75
71,18909.75
72,17935.28
73,17935.28
74,17935.28
75,17935.28
76,17869.06
77,17869.06
78,17869.06
79,17869.06
80,17226.79
81,17226.79
82,17226.79
83,17226.79
84,17072.65
85,17072.65
86,17072.65
87,17072.65
88,17387.97
89,17387.97
90,17387.97
91,17387.97
92,16997.89
93,16997.89
94,16997.89
95,16997.89
96,16315.27
97,16315.27
98,16315.27
99,16315.27
100,15874.31
101,15874.31
102,15874.31
103,15874.31
104,15583.64
105,15583.64
106,15583.64
107,15583.64
108,15260.73
109,15260.73
110,15260.73
111,15260.73
112,15157.08
113,15157.08
114,15157.08
115,15157.08
116,15210.72
117,15210.72
118,15210.72
119,15210.72
120,15524.98
121,15524.98
122,15524.98
123,15524.98
124,16561.74
125,16561.74
126,16561.74
127,16561.74
128,17463.59
129,17463.59
130,17463.59
131,17463.59
132,17776.19
133,17776.19
134,17776.19
135,17776.19
136,18490.75
137,18490.75
138,18490.75
139,18490.75
140,18504.41
141,18504.41
142,18504.41
143,18504.41
144,18541.82
145,18541.82
146,18541.82
147,18541.82
148,18228.55
149,18228.55
150,18228.55
151,18228.55
152,17640.24
153,17640.24
154,17640.24
155,17640.24
156,18721.71
157,18721.71
158,18721.71
159,18721.71
160,18993.79
161,18993.79
162,18993.79
163,18993.79
164,19000.97
165,19000.97
166,19000.97
167,19000.97
168,18116.14
169,18116.14
170,18116.14
171,18116.14
172,18137.72
173,18137.72
174,18137.72
175,18137.72
176,17551.43
177,17551.43
178,17551.43
179,17551.43
180,17494.89
181,17494.89
182,17494.89
183,17494.89
184,17692.55
185,17692.55
186,17692.55
187,17692.55
188,17408.67
189,17408.67
190,17408.67
191,17408.67
192,16669.9
193,16669.9
194,16669.9
195,16669.9
196,16075.42
197,16075.42
198,16075.42
199,16075.42
200,15757.83
201,15757.83
202,15757.83
203,15757.83
204,15475.66
205,15475.66
206,15475.66
207,15475.66
208,15208.52
209,15208.52
210,15208.52
211,15208.52
212,15423.46
213,15423.46
214,15423.46
215,15423.46
216,15526.02
217,15526.02
218,15526.02
219,15526.02
220,16465.0
221,16465.0
222,16465.0
223,16465.0
224,16913.04
225,16913.04
226,16913.04
227,16913.04
228,16594.89
229,16594.89
230,16594.89
231,16594.89
232,16902.96
233,16902.96
234,16902.96
235,16902.96
236,16352.17
237,16352.17
238,16352.17
239,16352.17
240,15936.57
241,15936.57
242,15936.57
243,15936.57
244,15830.89
245,15830.89
246,15830.89
247,15830.89
248,15580.17
249,15580.17
250,15580.17
251,15580.17
252,16109.84
253,16109.84
254,16109.84
255,16109.84
256,16668.84
257,16668.84
258,16668.84
259,16668.84
260,16599.86
261,16599.86
262,16599.86
263,16599.86
264,16573.36
265,16573.36
266,16573.36
267,16573.36
268,16964.5
269,16964.5
270,16964.5
271,16964.5
272,16277.2
273,16277.2
274,16277.2
275,16277.2
276,16357.74
277,16357.74
278,16357.74
279,16357.74
280,16415.7
281,16415.7
282,16415.7
283,16415.7
284,15858.27
285,15858.27
286,15858.27
287,15858.27
288,15096.96
289,15096.96
290,15096.96
291,15096.96
292,14438.02
293,14438.02
294,14438.02
295,14438.02
296,13991.92
297,13991.92
298,13991.92
299,13991.92
300,13799.6
301,13799.6
302,13799.6
303,13799.6
304,13806.56
305,13806.56
306,13806.56
307,13806.56
308,13982.04
309,13982.04
310,13982.04
311,13982.04
312,14437.43
313,14437.43
314,14437.43
315,14437.43
316,15724.18
317,15724.18
318,15724.18
319,15724.18
320,15881.58
321,15881.58
322,15881.58
323,15881.58
324,15875.31
325,15875.31
326,15875.31
327,15875.31
328,16724.26
329,16724.26
330,16724.26
331,16724.26
332,16770.91
333,16770.91
334,16770.91
335,16770.91
336,16634.2
337,16634.2
338,16634.2
339,16634.2
340,16087.86
341,16087.86
342,16087.86
343,16087.86
344,15713.6
345,15713.6
346,15713.6
347,15713.6
348,16321.13
349,16321.13
350,16321.13
351,16321.13
352,17035.14
353,17035.14
354,17035.14
355,17035.14
356,17413.04
357,17413.04
358,17413.04
359,17413.04
360,16800.89
361,16800.89
362,16800.89
363,16800.89
364,17001.97
365,17001.97
366,17001.97
367,17001.97
368,16394.83
369,16394.83
370,16394.83
371,16394.83
372,16220.2
373,16220.2
374,16220.2
375,16220.2
376,15922.96
377,15922.96
378,15922.96
379,15922.96
380,15538.87
381,15538.87
382,15538.87
383,15538.87
384,14478.0
385,14478.0
386,14478.0
387,14478.0
388,13936.31
389,13936.31
390,13936.31
391,13936.31
392,13382.83
393,13382.83
394,13382.83
395,13382.83
396,13089.32
397,13089.32
398,13089.32
399,13089.32
400,13024.58
401,13024.58
402,13024.58
403,13024.58
404,13229.91
405,13229.91
406,13229.91
407,13229.91
408,13468.15
409,13468.15
410,13468.15
411,13468.15
412,14733.97
413,14733.97
414,14733.97
415,14733.97
416,15344.86
417,15344.86
418,15344.86
419,15344.86
420,15385.75
421,15385.75
422,15385.75
423,15385.75
424,15839.86
425,15839.86
426,15839.86
427,15839.86
428,15574.23
429,15574.23
430,15574.23
431,15574.23
432,15658.91
433,15658.91
434,15658.91
435,15658.91
436,15450.39
437,15450.39
438,15450.39
439,15450.39
440,15076.47
441,15076.47
442,15076.47
443,15076.47
444,15895.36
445,15895.36
446,15895.36
447,15895.36
448,16279.54
449,16279.54
450,16279.54
451,16279.54
452,16556.49
453,16556.49
454,16556.49
455,16556.49
456,16059.49
457,16059.49
458,16059.49
459,16059.49
460,16462.55
461,16462.55
462,16462.55
463,16462.55
464,16058.45
465,16058.45
466,16058.45
467,16058.45
468,15934.0
469,15934.0
470,15934.0
471,15934.0
472,16016.99
473,16016.99
474,16016.99
475,16016.99
476,15693.97
477,15693.97
478,15693.97
479,15693.97
480,14784.42
481,14784.42
482,14784.42
483,14784.42
484,14344.78
485,14344.78
486,14344.78
487,14344.78
488,13862.53
489,13862.53
490,13862.53
491,13862.53
492,13576.52
493,13576.52
494,13576.52
495,13576.52
496,13493.79
497,13493.79
498,13493.79
499,13493.79
500,13564.86
