,snapshot,objective,stores,generators
0,2025-04-01 00:00:00,0.25,0.25,0.25
1,2025-04-01 00:15:00,0.25,0.25,0.25
2,2025-04-01 00:30:00,0.25,0.25,0.25
3,2025-04-01 00:45:00,0.25,0.25,0.25
4,2025-04-01 01:00:00,0.25,0.25,0.25
5,2025-04-01 01:15:00,0.25,0.25,0.25
6,2025-04-01 01:30:00,0.25,0.25,0.25
7,2025-04-01 01:45:00,0.25,0.25,0.25
8,2025-04-01 02:00:00,0.25,0.25,0.25
9,2025-04-01 02:15:00,0.25,0.25,0.25
10,2025-04-01 02:30:00,0.25,0.25,0.25
11,2025-04-01 02:45:00,0.25,0.25,0.25
12,2025-04-01 03:00:00,0.25,0.25,0.25
13,2025-04-01 03:15:00,0.25,0.25,0.25
14,2025-04-01 03:30:00,0.25,0.25,0.25
15,2025-04-01 03:45:00,0.25,0.25,0.25
16,2025-04-01 04:00:00,0.25,0.25,0.25
17,2025-04-01 04:15:00,0.25,0.25,0.25
18,2025-04-01 04:30:00,0.25,0.25,0.25
19,2025-04-01 04:45:00,0.25,0.25,0.25
20,2025-04-01 05:00:00,0.25,0.25,0.25
21,2025-04-01 05:15:00,0.25,0.25,0.25
22,2025-04-01 05:30:00,0.25,0.25,0.25
23,2025-04-01 05:45:00,0.25,0.25,0.25
24,2025-04-01 06:00:00,0.25,0.25,0.25
25,2025-04-01 06:15:00,0.25,0.25,0.25
26,2025-04-01 06:30:00,0.25,0.25,0.25
27,2025-04-01 06:45:00,0.25,0.25,0.25
28,2025-04-01 07:00:00,0.25,0.25,0.25
29,2025-04-01 07:15:00,0.25,0.25,0.25
30,2025-04-01 07:30:00,0.25,0.25,0.25
31,2025-04-01 07:45:00,0.25,0.25,0.25
32,2025-04-01 08:00:00,0.25,0.25,0.25
33,2025-04-01 08:15:00,0.25,0.25,0.25
34,2025-04-01 08:30:00,0.25,0.25,0.25
35,2025-04-01 08:45:00,0.25,0.25,0.25
36,2025-04-01 09:00:00,0.25,0.25,0.25
