date,days,generation_gwh,demand_gwh,difference_gwh,difference_pct
2025-04,30,9155.2100,12018.7920,-2863.5820,-23.8259
2025-05,31,9738.5100,11660.7203,-1922.2103,-16.4845
2025-06,30,12805.3800,11739.8299,1065.5501,9.0764
2025-07,31,13367.7200,12464.0870,903.6330,7.2499
2025-08,31,11965.5800,11388.9460,576.6340,5.0631
2025-09,30,11758.2000,11048.0059,710.1941,6.4283
2025-10,31,9511.1300,10178.5224,-667.3924,-6.5569
2025-11,30,8381.5800,10174.7339,-1793.1539,-17.6236
2025-12,31,8720.2000,10190.8104,-1470.6104,-14.4308
2026-01,31,9563.8800,10142.5522,-578.6722,-5.7054
2026-02,28,9748.8300,10233.8476,-485.0176,-4.7393
2026-03,31,10670.1200,10142.5522,527.5678,5.2015
