month,reference_total,reference_re_subtotal,run_total,wind,solar,other_res,total_difference,total_difference_pct,run_re_subtotal,re_difference
2025-04,9753.5100,2227.8900,12060.1864,1277.9698,2058.5073,24.7091,2306.6764,23.6497,3361.1861,1133.2961
2025-05,10921.9800,4109.1200,11700.9290,1509.1193,2061.9528,13.5427,778.9490,7.1319,3584.6147,-524.5053
2025-06,13519.4700,5570.6300,11783.5467,1802.5562,1835.5944,16.9605,-1735.9233,-12.8402,3655.1111,-1915.5189
2025-07,14223.4500,6474.8300,12509.1420,2011.8129,1795.2206,21.5089,-1714.3080,-12.0527,3828.5424,-2646.2876
2025-08,12188.5900,5184.4600,11424.1422,1917.0371,1805.5582,22.2984,-764.4478,-6.2718,3744.8937,-1439.5663
2025-09,12145.9200,5150.8600,11083.5416,1682.0396,1865.9003,20.0442,-1062.3784,-8.7468,3567.9840,-1582.8760
2025-10,9833.5600,2749.6200,10217.0978,1371.0392,1986.1263,16.7000,383.5378,3.9003,3373.8655,624.2455
2025-11,8707.3400,2084.5300,10197.4073,1201.6138,1907.4719,13.8723,1490.0673,17.1128,3122.9580,1038.4280
2025-12,9074.2600,2619.3500,10217.8241,1179.1776,1923.1579,12.7422,1143.5641,12.6023,3115.0777,495.7277
2026-01,10189.5600,2835.5600,10178.7674,1182.2683,1940.9681,11.9046,-10.7926,-0.1059,3135.1410,299.5810
2026-02,10405.6000,2666.5200,10270.9010,995.8277,1856.5143,10.0735,-134.6990,-1.2945,2862.4155,195.8955
2026-03,11247.5100,2720.0100,10181.2227,1163.3062,2164.8602,11.1332,-1066.2873,-9.4802,3339.2996,619.2896
