sheet,cell,kind,file_a_value,file_b_value
PlantInfo,F2,changed,2027-03-01,2027-06-01
PlantInfo,F3,changed,2027-05-01,2027-08-01
PlantInfo,F65,changed,2026-03-01,2026-06-01
PlantInfo,F66,changed,2026-08-01,2026-12-01
PlantInfo,G153,changed,2260.1875,2175.4
PlantInfo,G155,changed,635.2675,318.085
PlantInfo,G158,changed,349.125,349.375
PlantInfo,G159,changed,589.1025000000009,549.595
PlantInfo,G160,changed,279.51,256.375
PlantInfo,G161,changed,17.4,34.03
PlantInfo,C163,changed,Tamil Nadu-Thanjavur,Tamil Nadu-Tenkasi
PlantInfo,E163,changed,Thanjavur,Tenkasi
PlantInfo,G163,changed,8.8,22.88
PlantInfo,C164,changed,Tamil Nadu-Theni,Tamil Nadu-Thanjavur
PlantInfo,E164,changed,Theni,Thanjavur
PlantInfo,G164,changed,574.6,8.8
PlantInfo,C165,changed,Tamil Nadu-Thiruvallur,Tamil Nadu-Theni
PlantInfo,E165,changed,Thiruvallur,Theni
PlantInfo,G165,changed,7.2,574.6
PlantInfo,C166,changed,Tamil Nadu-Thoothukkudi,Tamil Nadu-Thiruvallur
PlantInfo,E166,changed,Thoothukkudi,Thiruvallur
PlantInfo,G166,changed,2174.3775,7.2
PlantInfo,C167,changed,Tamil Nadu-Tiruchirappalli,Tamil Nadu-Thoothukkudi
PlantInfo,E167,changed,Tiruchirappalli,Thoothukkudi
PlantInfo,G167,changed,6.4,2662.925
PlantInfo,C168,changed,Tamil Nadu-Tirunelveli,Tamil Nadu-Tiruchirappalli
PlantInfo,E168,changed,Tirunelveli,Tiruchirappalli
PlantInfo,G168,changed,3807.5405000000005,16.9
PlantInfo,C169,changed,Tamil Nadu-Tiruppur,Tamil Nadu-Tirunelveli
PlantInfo,E169,changed,Tiruppur,Tirunelveli
PlantInfo,G169,changed,786.8149999999999,3797.725
PlantInfo,C170,changed,Tamil Nadu-Tiruppur & Karur,Tamil Nadu-Tiruppur
PlantInfo,E170,changed,Tiruppur & Karur,Tiruppur
PlantInfo,G170,changed,300,862.395
PlantInfo,C171,changed,Tamil Nadu-Viluppuram,Tamil Nadu-Tiruppur & Karur
PlantInfo,E171,changed,Viluppuram,Tiruppur & Karur
PlantInfo,G171,changed,1.7,300
PlantInfo,A172,changed,Solar,Wind
PlantInfo,B172,changed,pipeline,operational
PlantInfo,C172,changed,INGEL Tamil Nadu 200.0,Tamil Nadu-Viluppuram
PlantInfo,E172,changed,Thoothukudi,Viluppuram
PlantInfo,F172,only_in_a,2027-12-31,
PlantInfo,G172,changed,200,1.7
PlantInfo,H172,only_in_a,INGEL,
PlantInfo,B173,changed,operational,pipeline
PlantInfo,C173,changed,Tamil Nadu Chennai 16,INGEL Tamil Nadu 200.0
PlantInfo,E173,changed,Chennai,Thoothukudi
PlantInfo,F173,only_in_b,,2027-12-31
PlantInfo,G173,changed,16,200
PlantInfo,H173,only_in_b,,INGEL
PlantInfo,C174,changed,Tamil Nadu Coimbatore 11.26,Tamil Nadu Chennai 16
PlantInfo,E174,changed,Coimbatore,Chennai
PlantInfo,G174,changed,11.26,16
PlantInfo,C175,changed,Tamil Nadu Cuddalore 140,Tamil Nadu Coimbatore 11.26
PlantInfo,E175,changed,Cuddalore,Coimbatore
PlantInfo,G175,changed,140,11.26
PlantInfo,C176,changed,Tamil Nadu Dindigul 109.46,Tamil Nadu Cuddalore 140
PlantInfo,E176,changed,Dindigul,Cuddalore
PlantInfo,G176,changed,109.46,140
PlantInfo,C177,changed,Tamil Nadu Erode  7,Tamil Nadu Dindigul 109.46
PlantInfo,E177,changed,Erode,Dindigul
PlantInfo,G177,changed,7,109.46
PlantInfo,C178,changed,Tamil Nadu Kanniyakumari 1,Tamil Nadu Erode  7
PlantInfo,E178,changed,Kanniyakumari,Erode
PlantInfo,G178,changed,1,7
PlantInfo,C179,changed,Tamil Nadu Karur 156.49,Tamil Nadu Kanniyakumari 1
PlantInfo,E179,changed,Karur,Kanniyakumari
PlantInfo,G179,changed,156.49,1
PlantInfo,C180,changed,Tamil Nadu Krishnagiri 0.75,Tamil Nadu Karur 156.49
PlantInfo,E180,changed,Krishnagiri,Karur
PlantInfo,G180,changed,0.75,156.49
PlantInfo,C181,changed,Tamil Nadu Madurai 1,Tamil Nadu Krishnagiri 0.75
PlantInfo,E181,changed,Madurai,Krishnagiri
PlantInfo,G181,changed,1,0.75
PlantInfo,C182,changed,Tamil Nadu N.A. 251,Tamil Nadu Madurai 1
PlantInfo,E182,changed,N.A.,Madurai
PlantInfo,G182,changed,251,1
PlantInfo,C183,changed,Tamil Nadu N.A. Off -grid 75.91,Tamil Nadu N.A. 251
PlantInfo,G183,changed,75.91,251
PlantInfo,C184,changed,Tamil Nadu N.A. Others (Districts not specified) 8930.85,Tamil Nadu N.A. Off -grid 75.91
PlantInfo,G184,changed,8930.85,75.91
PlantInfo,C185,changed,Tamil Nadu N.A. Rooftop (Grid Connected) 1635.8,Tamil Nadu N.A. Others (Districts not specified) 9143.18
PlantInfo,G185,changed,1635.8,9143.18
PlantInfo,C186,changed,Tamil Nadu Nagapattinam  5,Tamil Nadu N.A. Rooftop (Grid Connected) 1635.8
PlantInfo,E186,changed,Nagapattinam,N.A.
PlantInfo,G186,changed,5,1635.8
PlantInfo,C187,changed,Tamil Nadu Perambalur 10,Tamil Nadu Nagapattinam  5
PlantInfo,E187,changed,Perambalur,Nagapattinam
PlantInfo,G187,changed,10,5
PlantInfo,C188,changed,Tamil Nadu Pudukkottai 20,Tamil Nadu Perambalur 10
PlantInfo,E188,changed,Pudukkottai,Perambalur
PlantInfo,G188,changed,20,10
PlantInfo,C189,changed,Tamil Nadu Ramanathapuram 245,Tamil Nadu Pudukkottai 20
PlantInfo,E189,changed,Ramanathapuram,Pudukkottai
PlantInfo,G189,changed,245,20
PlantInfo,C190,changed,Tamil Nadu Ramanathapuram Kamuthi Solar Power Project 648,Tamil Nadu Ramanathapuram 245
PlantInfo,G190,changed,648,245
PlantInfo,C191,changed,Tamil Nadu Sivaganga 16.55,Tamil Nadu Ramanathapuram Kamuthi Solar Power Project 648
PlantInfo,E191,changed,Sivaganga,Ramanathapuram
PlantInfo,G191,changed,16.55,648
PlantInfo,C192,changed,Tamil Nadu Thoothukkudi 28,Tamil Nadu Sivaganga 16.55
PlantInfo,E192,changed,Thoothukkudi,Sivaganga
PlantInfo,G192,changed,28,16.55
PlantInfo,C193,changed,Tamil Nadu Tiruchirappalli 169,Tamil Nadu Thoothukkudi 28
PlantInfo,E193,changed,Tiruchirappalli,Thoothukkudi
PlantInfo,G193,changed,169,28
PlantInfo,C194,changed,Tamil Nadu Tirunelveli  309.36,Tamil Nadu Tiruchirappalli 169
PlantInfo,E194,changed,Tirunelveli,Tiruchirappalli
PlantInfo,G194,changed,309.36,169
