Monthly generation by fuel source for Tamil Nadu — FY2025–2026

| Month    | Thermal*  | Gas     | Nuclear  | Large hydro | Wind      | Solar     | Biomass | Bagasse | Small hydro | RE subtotal** | Total generation |
|----------|-----------|---------|----------|-------------|-----------|-----------|---------|---------|-------------|---------------|------------------|
| Apr-25   | 5,620.93  | 109.70  | 1,608.55 | 186.44      | 630.47    | 1,571.11  | 0.00    | 17.78   | 8.53        | 2,227.89      | 9,753.51         |
| May-25   | 4,753.10  | 114.82  | 1,687.68 | 257.26      | —         | —         | —       | —       | —           | 4,109.12      | 10,921.98        |
| Jun-25   | 5,627.76  | 109.60  | 1,578.19 | 633.29      | —         | —         | —       | —       | —           | 5,570.63      | 13,519.47        |
| Jul-25   | 5,148.19  | 112.95  | 1,667.47 | 820.01      | 4,807.61  | 1,608.26  | 0.00    | 7.53    | 51.43       | 6,474.83      | 14,223.45        |
| Aug-25   | 5,183.79  | 73.38   | 931.40   | 815.56      | 3,460.74  | 1,666.14  | 0.00    | 3.76    | 53.81       | 5,184.46      | 12,188.59        |
| Sep-25   | 5,533.45  | 77.85   | 732.09   | 651.67      | 3,443.56  | 1,665.81  | 0.00    | 8.93    | 32.56       | 5,150.86      | 12,145.92        |
| Oct-25   | 5,050.00  | 120.25  | 1,288.94 | 624.75      | 1,178.43  | 1,494.83  | 0.00    | 51.37   | 24.99       | 2,749.62      | 9,833.56         |
| Nov-25   | 5,174.86  | 117.43  | 765.08   | 565.44      | 733.57    | 1,291.18  | 0.00    | 31.06   | 28.72       | 2,084.53      | 8,707.34         |
| Dec-25   | 5,016.26  | 108.29  | 918.49   | 411.87      | 958.85    | 1,630.79  | 0.00    | 5.35    | 24.36       | 2,619.35      | 9,074.26         |
| Jan-26   | 5,654.39  | 103.64  | 1,311.82 | 284.15      | 1,120.16  | 1,683.11  | 0.00    | 8.69    | 23.60       | 2,835.56      | 10,189.56        |
| Feb-26   | 5,969.39  | 83.79   | 1,518.59 | 167.31      | 895.54    | 1,745.24  | 0.00    | 8.57    | 17.17       | 2,666.52      | 10,405.60        |
| Mar-26   | 6,566.89  | 113.03  | 1,675.66 | 171.92      | 501.42    | 2,186.02  | 8.97    | 11.65   | 11.95       | 2,720.01      | 11,247.51        |
| FY25–26  | 65,299.01 | 1,244.73| 15,683.96| 5,589.67    | 24,200.81 | 19,690.99 | 8.97    | 185.04  | 307.56      | 44,393.37     | 132,210.74       |
