date,reported_page_date,reservoir,full_depth_ft,full_capacity_mcft,current_level_ft,current_storage_mcft,current_inflow_cusec,current_outflow_cusec,last_year_level_ft,last_year_storage_mcft,source_url,date_validation,storage_fraction_gross,storage_fraction,inflow_mcft_per_day,outflow_mcft_per_day,current_storage_m3,full_capacity_m3,inflow_m3_per_day,outflow_m3_per_day,agriculture_storage_bcm,cwc_live_capacity_bcm,cwc_nonlive_offset_bcm,calibrated_live_storage_bcm,live_soc_fraction,live_capacity_source,soc_calibration_rule
2025-04-01,2025-04-01,METTUR,120.0,93470.0,108.09,75723.0,588.0,1004.0,59.82,24553.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.8101315930244999,0.8101315930244999,50.803200000000004,86.74560000000001,2144236574.486016,2646775650.9542403,1438586.4207826946,2456361.8477309956,2.1442365744860163,2.647,0.0,2.1442365744860163,0.810062929537596,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-01,2025-04-01,Krishna Raja Sagar,124.8,49452.0,105.29,27248.0,89.0,4082.0,86.06,13721.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.5509989484752892,0.5509989484752892,7.6896,352.6848,771577435.9388161,1400324697.6675842,217745.2235538432,9986921.376930201,0.7715774359388161,,0.0,,,,
2025-04-01,2025-04-01,Kabini,65.0,19516.0,51.19,11775.0,78.0,600.0,46.48,9581.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.6033510965361755,0.6033510965361755,6.7392,51.84,333430868.6208,552631578.089472,190832.8925528064,1467945.32732928,0.3334308686208,,0.0,,,,
2025-04-01,2025-04-01,Harangi,129.0,8500.0,104.22,3566.0,84.0,100.0,97.71,3222.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.4195294117647059,0.4195294117647059,7.2576,8.64,100977874.947072,240693196.032,205512.34582609922,244657.55455488004,0.10097787494707201,,0.0,,,,
2025-04-01,2025-04-01,Hemavathy,117.0,37103.0,95.25,19849.0,21.0,330.0,77.49,10680.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.5349702180416678,0.5349702180416678,1.8144,28.512,562061088.004608,1050639959.1029761,51378.086456524805,807369.930031104,0.5620610880046081,,0.0,,,,
2025-04-01,2025-04-01,BHAVANISAGAR,105.0,32800.0,77.1,14198.0,205.0,3550.0,49.81,4386.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.4328658536585366,0.4328658536585366,17.712,306.72,402042587.913216,928792568.2176001,501547.986837504,8685343.186698241,0.40204258791321607,0.792,0.0,0.40204258791321607,0.5076295301934546,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-01,2025-04-01,AMARAVATHI,90.0,4047.0,47.77,1067.0,19.0,,46.2,995.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.2636520879663949,0.2636520879663949,1.6416000000000002,,30214075.313664,114598278.15782401,46484.935365427205,,0.030214075313664004,,0.0,,,,
2025-04-01,2025-04-01,Periyar,152.0,10570.0,113.0,1392.0,105.0,105.0,116.45,1988.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.13169347209082308,0.13169347209082308,9.072000000000001,9.072000000000001,39417050.456064,299309068.47744,256890.43228262404,256890.43228262404,0.039417050456064,,0.0,,,,
2025-04-01,2025-04-01,Vaigai,71.0,6091.0,56.86,3029.0,,722.0,62.24,4043.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.49729108520768345,0.49729108520768345,,62.3808,85771728.327168,172477912.591872,,1766427.5438862338,0.085771728327168,0.172,0.0,0.085771728327168,0.49867283911144195,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-01,2025-04-01,Papanasam (TN EB Dam),143.0,5500.0,91.65,2625.0,180.0,800.0,64.7,1406.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.4772727272727273,0.4772727272727273,15.552000000000001,69.12,74331722.304,155742656.256,440383.59819878405,1957260.4364390403,0.07433172230400001,,0.0,,,,
2025-04-01,2025-04-01,Manimuthar,118.0,5511.0,85.07,2559.0,213.0,,92.52,3137.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.4643440391943386,0.4643440391943386,18.403200000000002,,72462810.428928,156054141.56851202,521120.5912018945,,0.072462810428928,0.156,0.0,0.072462810428928,0.4645051950572308,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-01,2025-04-01,Pechiparai,48.0,4350.0,29.03,1948.0,42.0,,42.04,3482.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.447816091954023,0.447816091954023,3.6288,,55161217.161216006,123178282.6752,102756.17291304961,,0.055161217161216004,,0.0,,,,
2025-04-01,2025-04-01,Perunchani,77.0,2890.0,25.5,199.0,27.0,22.0,47.95,795.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.06885813148788927,0.06885813148788927,2.3328,1.9008,5635052.4718080005,81835686.65088001,66057.53972981761,53824.6620020736,0.005635052471808,,0.0,,,,
2025-04-01,2025-04-01,Krishnagiri,52.0,1666.0,48.25,1262.0,171.0,171.0,43.6,849.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.7575030012004802,0.7575030012004802,14.7744,14.7744,35735860.399104,47175866.422272004,418364.4182888448,418364.4182888448,0.035735860399104,,0.0,,,,
2025-04-01,2025-04-01,Sathanur,119.0,7321.0,100.2,3784.0,,1120.0,90.05,2457.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.5168692801529846,0.5168692801529846,,96.768,107150947.50412801,207307633.900032,,2740164.6110146563,0.10715094750412801,0.207,0.0,0.10715094750412801,0.517637427556174,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-01,2025-04-01,Sholayar,160.0,5046.0,1.98,20.0,10.0,10.0,6.6,71.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.003963535473642489,0.003963535473642489,0.8640000000000001,0.8640000000000001,566336.93184,142886807.903232,24465.755455488004,24465.755455488004,0.0005663369318400001,0.143,0.0,0.0005663369318400001,0.003960398124755246,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-01,2025-04-01,Parambikulam,72.0,13408.0,51.25,8890.0,30.0,1120.0,20.0,3011.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.6630369928400954,0.6630369928400954,2.592,96.768,251736766.20288002,379672279.10553604,73397.26636646401,2740164.6110146563,0.25173676620288005,0.38,0.0,0.25173676620288005,0.6624651742181054,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-01,2025-04-01,Aliyar,120.0,3864.0,65.3,763.0,314.0,580.0,55.3,442.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-01,verified,0.19746376811594202,0.19746376811594202,27.1296,50.112,21605753.949696,109416295.231488,768224.7213023233,1419013.816418304,0.021605753949696,0.095,0.014416,0.007189753949696001,0.07568162052311579,CWC static live capacity,"Agriculture storage - 0.014416 BCM, clipped to CWC live capacity"
