date,snapshot_signature,repeat_count,span_days,reason
2025-05-08,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-05-09,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-05-10,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-05-11,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-05-12,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-05-13,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-07-27,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-08-02,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-08-03,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-08-04,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
2025-08-09,19c5ad121d391d3f6e01d8b5040a3b347215848a6ab19e27d57337a6dacdb553,66,327,Identical multi-reservoir level/storage/inflow/outflow snapshot repeated across widely separated dates.
